               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1353,            0.017601,                   0,                   0,                   0,                   0,                   0,             0.13749,            0.014879,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.13444,             0.01788,                   0,          3.3333e-05,           0.0035336,          1.6743e-05,          5.0228e-06,             0.13527,            0.014541,                   0,            0.093697,          0.00069723,          0.00069723
                   2,             0.13026,            0.018084,                   0,          6.6667e-05,           0.0070671,          3.3687e-05,          6.7373e-06,             0.12775,            0.014003,                   0,            0.090091,           0.0010913,           0.0010913
                   3,             0.12294,            0.018756,                   0,          0.00013333,            0.014134,           6.839e-05,          1.3656e-05,              0.1219,            0.014032,                   0,            0.086482,           0.0014822,           0.0014822
                   4,             0.11456,            0.019105,                   0,          0.00013333,            0.014134,          6.8853e-05,          1.2022e-05,              0.1149,            0.013722,                   0,             0.08287,           0.0018699,           0.0018699
                   5,              0.1133,            0.019739,                   0,          0.00046667,             0.04947,          0.00024955,           8.221e-05,              0.1065,            0.013482,                   0,            0.079254,           0.0022545,           0.0022545
                   6,             0.10592,            0.020516,                   0,           0.0010333,             0.10954,          0.00065325,          0.00012482,             0.10394,            0.013563,                   0,            0.075636,           0.0026358,           0.0026358
                   7,             0.10011,            0.021628,                   0,              0.0011,             0.11661,          0.00098713,          0.00021719,             0.10228,            0.012631,                   0,            0.072014,           0.0030141,           0.0030141
                   8,            0.095325,             0.02337,                   0,           0.0047112,            0.095406,           0.0063003,           0.0017055,             0.11016,            0.012313,                   0,            0.068389,           0.0033891,           0.0033891
                   9,            0.090516,            0.023016,                   0,             0.20083,             0.11307,            0.047945,             0.01096,            0.095139,            0.013104,                   0,            0.064761,            0.003761,            0.003761
                  10,            0.086305,            0.022775,                   0,             0.13332,             0.14488,            0.050667,            0.011822,            0.094589,             0.01272,                   0,             0.06113,           0.0041297,           0.0041297
                  11,            0.080402,            0.024071,                   0,            0.096255,             0.19788,            0.049725,            0.011342,            0.096313,            0.012201,                   0,            0.057495,           0.0044953,           0.0044953
                  12,            0.079081,            0.020535,                   0,             0.21134,             0.16608,            0.075614,              0.0159,            0.097252,            0.011948,                   0,            0.053858,           0.0048576,           0.0048576
                  13,            0.082127,            0.017026,                   0,             0.23279,             0.26148,             0.13794,            0.037105,            0.088837,            0.014814,                   0,            0.050217,           0.0052169,           0.0052169
                  14,            0.076094,            0.017391,                   0,             0.32316,             0.25307,             0.21707,            0.069139,            0.088274,            0.014752,                   0,            0.046573,           0.0055729,           0.0055729
                  15,            0.073985,            0.017627,                   0,             0.31417,             0.26223,             0.17579,            0.049126,            0.086985,            0.013087,                   0,            0.042926,           0.0059258,           0.0059258
                  16,             0.07061,            0.017875,                   0,              0.1951,             0.25095,             0.11209,            0.021794,             0.10572,            0.011666,                   0,            0.039275,           0.0062755,           0.0062755
                  17,             0.07293,            0.016296,                   0,             0.16713,             0.22968,            0.095391,             0.01666,              0.1073,             0.01051,                   0,            0.035622,            0.006622,            0.006622
                  18,            0.074053,            0.016381,                   0,             0.33473,             0.26502,             0.21115,            0.057502,            0.087798,            0.011764,                   0,            0.031965,           0.0069654,           0.0069654
