               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13572,            0.017729,                   0,                   0,                   0,                   0,                   0,             0.13729,            0.014895,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.13425,            0.017972,                   0,          3.3333e-05,           0.0035336,          1.6742e-05,          5.0225e-06,             0.13421,            0.013632,                   0,            0.093697,          0.00069723,          0.00069723
                   2,             0.12863,            0.018092,                   0,              0.0002,            0.021201,           0.0001032,          2.3903e-05,              0.1241,            0.013316,                   0,            0.090091,           0.0010913,           0.0010913
                   3,              0.1206,            0.018765,                   0,          0.00023333,            0.024735,          0.00012092,          3.0807e-05,              0.1154,             0.01369,                   0,            0.086482,           0.0014822,           0.0014822
                   4,             0.11129,            0.018808,                   0,          6.6667e-05,           0.0070671,          3.3938e-05,          1.5419e-05,             0.11787,            0.013397,                   0,             0.08287,           0.0018699,           0.0018699
                   5,             0.11265,            0.019296,                   0,          0.00033333,            0.035336,          0.00017359,          4.3047e-05,             0.11128,            0.013309,                   0,            0.079254,           0.0022545,           0.0022545
                   6,             0.10733,            0.020202,                   0,              0.0004,            0.042403,          0.00021563,           4.742e-05,             0.10758,            0.013276,                   0,            0.075636,           0.0026358,           0.0026358
                   7,            0.098321,            0.021539,                   0,           0.0016333,             0.17314,           0.0019009,          0.00038977,             0.10476,            0.013361,                   0,            0.072014,           0.0030141,           0.0030141
                   8,            0.095898,             0.02324,                   0,            0.074911,              0.0146,           0.0083602,            0.001108,             0.10459,            0.013292,                   0,            0.068389,           0.0033891,           0.0033891
                   9,            0.092125,            0.022648,                   0,             0.14459,            0.081272,            0.035218,            0.007342,            0.097128,            0.013756,                   0,            0.064761,            0.003761,            0.003761
                  10,            0.084801,            0.022311,                   0,             0.13483,             0.14488,            0.057343,             0.01464,            0.093129,            0.013215,                   0,             0.06113,           0.0041297,           0.0041297
                  11,            0.084115,              0.0235,                   0,            0.037179,             0.20848,            0.015986,           0.0038732,            0.098897,            0.012461,                   0,            0.057495,           0.0044953,           0.0044953
                  12,             0.07709,            0.020918,                   0,             0.10776,             0.13074,              0.0375,           0.0092846,            0.091709,            0.013514,                   0,            0.053858,           0.0048576,           0.0048576
                  13,            0.077792,            0.018209,                   0,              0.3084,             0.27208,             0.17202,            0.049004,            0.087116,            0.021528,                   0,            0.050217,           0.0052169,           0.0052169
                  14,            0.076268,            0.017303,                   0,               0.323,             0.24782,              0.1933,            0.062645,            0.085843,            0.019242,                   0,            0.046573,           0.0055729,           0.0055729
                  15,            0.075638,            0.017542,                   0,             0.31996,             0.27208,             0.20386,            0.062633,            0.080251,            0.015042,                   0,            0.042926,           0.0059258,           0.0059258
                  16,            0.073558,            0.017812,                   0,             0.31006,             0.25088,             0.18687,            0.054552,            0.087775,             0.01274,                   0,            0.039275,           0.0062755,           0.0062755
                  17,            0.072961,            0.016296,                   0,             0.12061,             0.22615,            0.051777,            0.011436,            0.091537,            0.010711,                   0,            0.035622,            0.006622,            0.006622
                  18,            0.073251,            0.016514,                   0,             0.39752,             0.24735,             0.22717,            0.069959,             0.08615,           0.0094156,                   0,            0.031965,           0.0069654,           0.0069654
                  19,            0.074246,            0.016404,                   0,             0.30135,             0.28622,             0.20528,            0.055935,            0.081261,           0.0097305,                   0,            0.028306,           0.0073056,           0.0073056
                  20,            0.072461,            0.015772,                   0,             0.17565,             0.26728,             0.11024,            0.024748,             0.08128,            0.010319,                   0,            0.024643,           0.0076426,           0.0076426
                  21,            0.069959,            0.016592,                   0,             0.31862,             0.21555,             0.17091,            0.038768,            0.080009,            0.011482,                   0,            0.020977,           0.0079765,           0.0079765
                  22,            0.069288,            0.016365,                   0,             0.29415,             0.26148,             0.17147,            0.042065,            0.090226,            0.011441,                   0,            0.017307,           0.0083072,           0.0083072
                  23,            0.066519,            0.015145,                   0,             0.34807,             0.25795,             0.23213,            0.079928,             0.08652,           0.0091942,                   0,            0.013635,           0.0086347,           0.0086347
                  24,            0.066402,            0.016369,                   0,             0.40725,             0.23322,              0.2305,            0.078143,            0.084108,           0.0099418,                   0,           0.0099591,           0.0089591,           0.0089591
                  25,            0.070145,            0.014306,                   0,             0.33023,             0.25442,             0.16572,            0.041838,            0.087223,           0.0099934,                   0,             0.00901,             0.00901,             0.00901
