               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13542,            0.017848,                   0,          4.2463e-05,           0.0035088,          2.1611e-05,          2.1611e-06,             0.13211,            0.017826,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.13433,            0.017687,                   0,                   0,                   0,                   0,                   0,              0.1317,            0.017197,                   0,            0.095498,          0.00049802,          0.00049802
                   2,             0.13487,            0.017655,                   0,          8.4926e-05,           0.0070175,          4.4619e-05,          7.8644e-06,             0.13051,            0.016623,                   0,            0.092794,          0.00079366,          0.00079366
                   3,             0.12861,            0.018259,                   0,          0.00016985,            0.014035,          8.7395e-05,          1.3008e-05,             0.12344,            0.016507,                   0,            0.090087,           0.0010869,           0.0010869
                   4,             0.11938,            0.018833,                   0,          0.00042463,            0.035088,           0.0002198,          5.1117e-05,             0.11478,            0.016771,                   0,            0.087378,           0.0013778,           0.0013778
                   5,             0.11879,             0.01903,                   0,           0.0004034,            0.033333,          0.00020878,          4.8962e-05,             0.11325,            0.017139,                   0,            0.084666,           0.0016663,           0.0016663
                   6,             0.11525,            0.019339,                   0,          0.00057325,            0.047368,          0.00030138,          8.2653e-05,             0.10862,            0.017492,                   0,            0.081952,           0.0019525,           0.0019525
                   7,             0.10974,            0.019397,                   0,          0.00059448,            0.049123,           0.0003125,          7.9634e-05,             0.10296,            0.018153,                   0,            0.079236,           0.0022362,           0.0022362
                   8,            0.097403,              0.0213,                   0,           0.0014862,             0.12281,          0.00084324,          0.00022922,             0.10032,            0.019199,                   0,            0.076518,           0.0025176,           0.0025176
                   9,             0.10411,             0.02047,                   0,           0.0033333,             0.27544,           0.0056273,           0.0012798,             0.10598,            0.020043,                   0,            0.073797,           0.0027966,           0.0027966
                  10,            0.095211,            0.022075,                   0,            0.086208,             0.10877,            0.024225,           0.0050338,            0.095057,            0.020399,                   0,            0.071073,           0.0030733,           0.0030733
                  11,            0.098213,            0.021738,                   0,             0.16339,             0.14386,            0.047456,            0.011421,            0.092925,            0.020888,                   0,            0.068348,           0.0033475,           0.0033475
                  12,            0.093506,            0.023117,                   0,              0.3947,             0.17193,             0.13651,            0.033807,            0.092021,            0.020862,                   0,            0.065619,           0.0036194,           0.0036194
                  13,            0.088251,            0.022906,                   0,            0.093679,              0.1193,            0.046954,            0.008765,            0.090687,            0.019125,                   0,            0.062889,           0.0038889,           0.0038889
                  14,             0.07826,            0.025009,                   0,            0.036563,             0.30526,             0.02035,           0.0054037,             0.11075,            0.015796,                   0,            0.060156,           0.0041561,           0.0041561
                  15,              0.0899,            0.020428,                   0,              0.1584,             0.33509,            0.091382,             0.02749,            0.089745,            0.017105,                   0,            0.057421,           0.0044208,           0.0044208
                  16,            0.081794,            0.018911,                   0,             0.19078,             0.27895,             0.15931,            0.037921,             0.10253,            0.015478,                   0,            0.054683,           0.0046832,           0.0046832
                  17,            0.081502,             0.01951,                   0,             0.42306,             0.40351,             0.33902,            0.099293,             0.08686,            0.017892,                   0,            0.051943,           0.0049432,           0.0049432
                  18,            0.077749,            0.016926,                   0,             0.36648,             0.36667,             0.27245,            0.083601,            0.091577,            0.017692,                   0,            0.049201,           0.0052008,           0.0052008
                  19,            0.070247,            0.016987,                   0,            0.047482,             0.15439,            0.021296,           0.0052976,             0.10411,            0.016562,                   0,            0.046456,           0.0054561,           0.0054561
                  20,            0.079178,            0.015969,                   0,             0.42368,              0.3614,             0.31236,            0.081181,            0.080189,             0.01508,                   0,            0.043709,            0.005709,            0.005709
                  21,            0.076247,            0.016049,                   0,             0.27396,             0.39649,             0.22317,            0.053668,            0.071758,            0.016169,                   0,            0.040959,           0.0059595,           0.0059595
                  22,            0.073203,            0.016929,                   0,             0.45464,             0.43158,             0.37438,             0.12615,            0.081533,            0.014891,                   0,            0.038208,           0.0062076,           0.0062076
                  23,             0.07138,            0.015575,                   0,             0.47213,             0.43333,             0.37753,             0.11163,            0.072754,              0.0162,                   0,            0.035453,           0.0064533,           0.0064533
                  24,            0.074511,            0.017403,                   0,             0.38166,             0.47212,             0.33724,             0.10688,            0.074704,            0.015479,                   0,            0.032697,           0.0066967,           0.0066967
                  25,            0.067303,            0.015414,                   0,             0.20306,             0.29649,             0.11213,            0.026273,            0.081617,            0.015588,                   0,            0.029938,           0.0069377,           0.0069377
                  26,            0.068348,            0.015239,                   0,              0.4002,             0.48246,             0.31948,             0.10962,            0.073107,            0.013834,                   0,            0.027176,           0.0071763,           0.0071763
                  27,            0.069611,            0.015546,                   0,             0.52272,             0.53509,             0.43975,             0.16888,            0.077932,             0.01476,                   0,            0.024413,           0.0074126,           0.0074126
                  28,            0.071128,            0.015804,                   0,             0.33349,             0.42749,             0.28364,            0.078715,            0.077353,            0.018894,                   0,            0.021646,           0.0076464,           0.0076464
                  29,            0.070842,            0.014281,                   0,             0.45807,             0.51579,             0.40001,             0.14098,            0.075482,            0.016701,                   0,            0.018878,           0.0078779,           0.0078779
                  30,             0.07621,            0.014006,                   0,             0.44363,             0.47368,             0.37468,             0.13663,            0.078573,            0.014698,                   0,            0.016107,            0.008107,            0.008107
                  31,            0.071708,             0.01641,                   0,              0.4294,             0.51754,             0.39114,             0.15625,            0.067899,            0.013546,                   0,            0.013334,           0.0083338,           0.0083338
                  32,            0.070674,            0.014018,                   0,              0.5305,              0.5193,             0.45206,             0.17864,            0.069082,            0.013372,                   0,            0.010558,           0.0085581,           0.0085581
                  33,            0.065952,            0.014501,                   0,             0.54043,             0.50175,             0.49519,             0.19155,            0.079068,             0.01377,                   0,           0.0086932,           0.0086932,           0.0086932
                  34,            0.069349,            0.014175,                   0,             0.58474,             0.52126,             0.51479,             0.17621,            0.072727,            0.012734,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.067175,            0.014118,                   0,             0.45846,             0.48772,             0.39234,             0.14729,            0.074897,            0.014623,                   0,           0.0086536,           0.0086536,           0.0086536
                  36,            0.068408,            0.014047,                   0,             0.60038,              0.5008,              0.5177,             0.18531,              0.0748,            0.015219,                   0,            0.008614,            0.008614,            0.008614
                  37,            0.065237,            0.014432,                   0,             0.56654,              0.5916,             0.52942,             0.22881,            0.071497,            0.017559,                   0,           0.0085744,           0.0085744,           0.0085744
                  38,            0.062423,            0.012692,                   0,             0.56272,             0.57544,             0.50967,             0.21859,            0.068191,            0.014488,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.060654,             0.01368,                   0,             0.66186,             0.58947,               0.613,             0.28445,            0.064177,            0.013355,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.063495,            0.013779,                   0,             0.70723,             0.59756,             0.65639,             0.24684,            0.072999,            0.013093,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.067338,             0.01306,                   0,             0.48863,             0.61857,             0.46026,             0.18994,             0.07258,            0.012614,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.066859,            0.012988,                   0,             0.57514,             0.59298,             0.56669,             0.24366,            0.075249,            0.013032,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.064241,            0.012245,                   0,             0.70571,             0.55955,             0.60381,             0.22496,            0.073757,            0.013134,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.062422,            0.012653,                   0,             0.73001,             0.55965,              0.6365,             0.28936,            0.068673,            0.012399,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.063458,            0.014438,                   0,             0.76243,             0.61404,               0.701,              0.3119,            0.066056,             0.01287,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,             0.06473,            0.012178,                   0,             0.73478,             0.57544,             0.66344,             0.28461,            0.064656,            0.012496,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.053243,            0.013501,                   0,             0.84645,             0.64795,             0.76226,             0.35424,            0.060625,            0.012801,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,            0.058046,            0.011308,                   0,             0.72477,             0.58421,             0.66674,              0.2979,            0.062266,            0.012174,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.054118,            0.010801,                   0,              0.8216,             0.63831,              0.7355,             0.36282,            0.060766,             0.01198,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.054415,            0.010308,                   0,             0.73206,              0.6423,             0.69606,             0.28787,            0.059466,            0.011691,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,             0.05568,            0.011914,                   0,             0.85946,             0.66521,             0.78122,             0.38284,            0.054672,            0.011764,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.054133,            0.012215,                   0,             0.86674,             0.62632,             0.73792,             0.33208,            0.058415,            0.011634,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,            0.055731,            0.011921,                   0,             0.87527,             0.65249,             0.77048,             0.38304,             0.05537,            0.011691,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,            0.055724,            0.011644,                   0,             0.74175,             0.63684,             0.70663,             0.35377,            0.060723,            0.011776,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,            0.057302,            0.011576,                   0,             0.77204,             0.66546,             0.74779,             0.36462,            0.057324,            0.011408,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.052623,            0.010464,                   0,             0.83133,             0.63684,             0.74922,             0.37417,            0.056786,            0.011977,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.057498,            0.011005,                   0,             0.82445,             0.67018,             0.77146,             0.37672,            0.054841,            0.011582,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,            0.055644,            0.012787,                   0,              0.7956,             0.73158,             0.79507,             0.40177,            0.050091,            0.011664,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,             0.05332,            0.011009,                   0,             0.82683,             0.68772,             0.77913,             0.37505,            0.051283,            0.011467,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,            0.050331,            0.012472,                   0,             0.84552,             0.70099,             0.79321,             0.37516,            0.047393,            0.011252,                   0,           0.0076636,           0.0076636,           0.0076636
                  61,            0.050898,            0.010247,                   0,             0.82574,             0.67338,             0.76434,             0.38275,            0.052804,            0.011284,                   0,            0.007624,            0.007624,            0.007624
                  62,            0.053445,            0.011028,                   0,             0.86102,             0.71053,              0.7925,             0.39377,            0.052332,            0.011403,                   0,           0.0075844,           0.0075844,           0.0075844
                  63,            0.055876,            0.010534,                   0,              0.8703,             0.70633,             0.80322,               0.412,            0.054975,            0.011137,                   0,           0.0075448,           0.0075448,           0.0075448
                  64,            0.051966,            0.011392,                   0,             0.89853,             0.73016,             0.83076,             0.42603,            0.050796,            0.011302,                   0,           0.0075052,           0.0075052,           0.0075052
                  65,             0.05299,            0.010877,                   0,             0.90338,             0.68246,             0.80497,             0.39418,            0.050178,            0.010899,                   0,           0.0074656,           0.0074656,           0.0074656
