               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12803,            0.009264,                   0,          6.3694e-05,           0.0052632,          3.2285e-05,          3.2285e-06,              0.1402,           0.0094736,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11741,           0.0092839,                   0,          8.4926e-05,           0.0070175,          4.2987e-05,          7.5148e-06,             0.13699,           0.0096111,                   0,            0.093697,          0.00069723,          0.00069723
                   2,             0.11269,            0.010033,                   0,          6.3694e-05,           0.0052632,          3.2029e-05,          3.2029e-06,             0.13212,           0.0097131,                   0,            0.090091,           0.0010913,           0.0010913
                   3,              0.1235,            0.010571,                   0,          0.00016985,            0.014035,          8.6243e-05,          2.0409e-05,             0.13034,           0.0096019,                   0,            0.086482,           0.0014822,           0.0014822
                   4,            0.099557,            0.011004,                   0,          0.00023355,            0.019298,          0.00011941,          3.9811e-05,             0.12883,           0.0095486,                   0,             0.08287,           0.0018699,           0.0018699
                   5,             0.10456,            0.011978,                   0,          0.00042463,            0.035088,          0.00021997,          5.1168e-05,               0.124,            0.009778,                   0,            0.079254,           0.0022545,           0.0022545
                   6,             0.10504,            0.011564,                   0,          0.00057325,            0.047368,          0.00030317,          7.2636e-05,             0.12158,           0.0099371,                   0,            0.075636,           0.0026358,           0.0026358
                   7,             0.10356,            0.012355,                   0,           0.0013376,             0.11053,          0.00075258,          0.00017343,             0.12129,            0.010163,                   0,            0.072014,           0.0030141,           0.0030141
                   8,            0.097484,            0.013172,                   0,           0.0020382,             0.16842,           0.0015614,          0.00040184,             0.11558,            0.010625,                   0,            0.068389,           0.0033891,           0.0033891
                   9,            0.096232,            0.012682,                   0,           0.0033758,             0.27895,           0.0042892,           0.0010526,             0.11424,            0.011171,                   0,            0.064761,            0.003761,            0.003761
                  10,            0.094759,            0.012851,                   0,           0.0046921,             0.38772,            0.028846,           0.0058836,             0.10668,            0.012556,                   0,             0.06113,           0.0041297,           0.0041297
                  11,             0.08841,            0.014278,                   0,            0.054427,             0.37544,             0.11478,            0.024636,             0.11483,            0.012452,                   0,            0.057495,           0.0044953,           0.0044953
                  12,             0.07863,            0.014105,                   0,             0.19471,              0.1807,             0.10761,            0.024605,             0.10798,            0.011358,                   0,            0.053858,           0.0048576,           0.0048576
                  13,            0.088626,            0.012887,                   0,             0.19127,             0.22281,             0.11878,            0.028588,             0.11058,            0.010273,                   0,            0.050217,           0.0052169,           0.0052169
                  14,             0.10441,            0.012931,                   0,             0.32147,             0.33081,             0.22419,            0.060397,            0.093513,            0.013371,                   0,            0.046573,           0.0055729,           0.0055729
                  15,             0.07354,            0.011901,                   0,             0.32214,             0.30598,             0.20735,             0.05749,             0.11128,              0.0113,                   0,            0.042926,           0.0059258,           0.0059258
                  16,              0.0822,            0.012754,                   0,             0.32454,             0.31053,             0.18534,            0.050223,             0.10524,            0.011195,                   0,            0.039275,           0.0062755,           0.0062755
                  17,            0.080784,             0.01187,                   0,            0.023789,            0.091228,           0.0082673,           0.0015011,             0.11751,            0.010332,                   0,            0.035622,            0.006622,            0.006622
                  18,            0.091574,             0.01102,                   0,             0.03309,             0.10877,            0.011163,           0.0019451,             0.11305,           0.0095957,                   0,            0.031965,           0.0069654,           0.0069654
                  19,            0.090687,            0.011418,                   0,             0.49024,             0.45965,             0.38828,             0.11567,             0.11139,             0.01004,                   0,            0.028306,           0.0073056,           0.0073056
                  20,            0.069722,            0.011402,                   0,             0.54515,              0.4193,             0.39416,             0.11806,            0.099491,             0.01064,                   0,            0.024643,           0.0076426,           0.0076426
                  21,            0.085127,            0.012159,                   0,            0.069229,             0.21053,            0.033637,           0.0064648,             0.12331,             0.01101,                   0,            0.020977,           0.0079765,           0.0079765
                  22,            0.091547,            0.011439,                   0,             0.33394,             0.49169,             0.26874,            0.089305,            0.091743,            0.010952,                   0,            0.017307,           0.0083072,           0.0083072
                  23,              0.0733,            0.011724,                   0,             0.13975,             0.24561,            0.065042,            0.013869,             0.12186,            0.011027,                   0,            0.013635,           0.0086347,           0.0086347
                  24,            0.077594,              0.0117,                   0,             0.33972,             0.45789,             0.29351,            0.086468,             0.11212,            0.013768,                   0,           0.0099591,           0.0089591,           0.0089591
                  25,             0.08139,            0.011285,                   0,             0.15435,             0.38947,             0.10563,            0.025308,              0.1088,            0.023223,                   0,             0.00901,             0.00901,             0.00901
                  26,            0.061797,            0.011748,                   0,             0.31571,             0.43303,             0.24264,            0.064702,             0.11627,            0.014754,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.073484,            0.011326,                   0,             0.34297,             0.47544,             0.30887,            0.076859,             0.10471,            0.016975,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,             0.07827,            0.010571,                   0,             0.41221,             0.47544,             0.32991,            0.091349,              0.1112,            0.011027,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.075453,            0.011298,                   0,             0.47347,             0.52632,             0.43785,              0.1493,             0.10009,             0.01062,                   0,           0.0088912,           0.0088912,           0.0088912
