               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12856,           0.0091486,                   0,                   0,                   0,                   0,                   0,            0.093938,           0.0078592,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11762,           0.0093449,                   0,                   0,                   0,                   0,                   0,            0.092688,           0.0076429,                   0,            0.093697,          0.00069723,          0.00069723
                   2,             0.11276,           0.0099303,                   0,          3.3333e-05,           0.0035336,          1.6733e-05,          1.6733e-06,             0.09096,           0.0071114,                   0,            0.090091,           0.0010913,           0.0010913
                   3,             0.12191,            0.010437,                   0,              0.0001,            0.010601,           5.066e-05,          1.3485e-05,            0.088572,           0.0071593,                   0,            0.086482,           0.0014822,           0.0014822
                   4,            0.094824,            0.010822,                   0,          0.00026667,            0.028269,          0.00013799,          2.8979e-05,            0.085477,           0.0070102,                   0,             0.08287,           0.0018699,           0.0018699
                   5,             0.10074,            0.011951,                   0,          0.00026667,            0.028269,          0.00014772,           4.367e-05,            0.083986,           0.0065753,                   0,            0.079254,           0.0022545,           0.0022545
                   6,            0.099764,            0.012132,                   0,          0.00063333,            0.067138,          0.00063816,          0.00020436,            0.080838,           0.0066348,                   0,            0.075636,           0.0026358,           0.0026358
                   7,            0.096503,            0.013483,                   0,           0.0010333,             0.10954,           0.0027092,          0.00068951,            0.075349,           0.0075919,                   0,            0.072014,           0.0030141,           0.0030141
                   8,            0.090376,            0.014823,                   0,             0.03399,            0.074205,           0.0061348,              0.0013,            0.072137,           0.0080133,                   0,            0.068389,           0.0033891,           0.0033891
                   9,            0.085929,            0.014341,                   0,              0.0023,             0.24382,           0.0024608,          0.00066199,            0.071715,           0.0080871,                   0,            0.064761,            0.003761,            0.003761
                  10,            0.085108,            0.014072,                   0,            0.030492,            0.045936,           0.0081425,           0.0018106,            0.068212,           0.0079488,                   0,             0.06113,           0.0041297,           0.0041297
                  11,            0.078863,            0.014759,                   0,            0.080887,             0.13428,            0.022905,           0.0048314,            0.072078,           0.0075463,                   0,            0.057495,           0.0044953,           0.0044953
                  12,            0.074569,            0.012524,                   0,             0.17497,             0.13781,            0.058919,             0.01438,            0.078638,           0.0092052,                   0,            0.053858,           0.0048576,           0.0048576
                  13,            0.084867,            0.011497,                   0,            0.012182,            0.038869,           0.0026828,          0.00056429,            0.068183,            0.013934,                   0,            0.050217,           0.0052169,           0.0052169
                  14,            0.096354,            0.011287,                   0,             0.19156,             0.17751,            0.087892,            0.021939,            0.065566,            0.010142,                   0,            0.046573,           0.0055729,           0.0055729
                  15,            0.072405,             0.01112,                   0,              0.0842,             0.15548,            0.030535,           0.0056931,            0.065039,            0.007359,                   0,            0.042926,           0.0059258,           0.0059258
                  16,             0.07948,            0.011977,                   0,            0.074602,             0.18021,            0.027236,            0.005537,             0.06939,           0.0062849,                   0,            0.039275,           0.0062755,           0.0062755
                  17,            0.081397,            0.011174,                   0,             0.11676,             0.14108,            0.052417,            0.012487,            0.071218,           0.0059716,                   0,            0.035622,            0.006622,            0.006622
                  18,            0.090854,            0.011469,                   0,             0.24552,            0.094298,            0.069474,            0.016804,             0.08254,           0.0050219,                   0,            0.031965,           0.0069654,           0.0069654
                  19,            0.093152,             0.01078,                   0,             0.26465,             0.16961,             0.10815,            0.031885,            0.064035,           0.0055813,                   0,            0.028306,           0.0073056,           0.0073056
                  20,            0.069088,              0.0101,                   0,             0.15291,             0.16608,            0.079434,            0.020495,            0.069165,            0.005529,                   0,            0.024643,           0.0076426,           0.0076426
                  21,            0.091412,            0.011669,                   0,             0.17734,             0.14488,            0.072757,            0.019383,            0.076321,           0.0050083,                   0,            0.020977,           0.0079765,           0.0079765
                  22,            0.082286,            0.011508,                   0,             0.24319,             0.14134,            0.077129,            0.020227,            0.072844,           0.0062036,                   0,            0.017307,           0.0083072,           0.0083072
                  23,            0.069018,            0.010742,                   0,             0.14607,             0.09894,            0.049933,            0.016786,            0.073276,           0.0056028,                   0,            0.013635,           0.0086347,           0.0086347
                  24,            0.077729,            0.011275,                   0,            0.088165,             0.12014,            0.041663,            0.013521,            0.075157,             0.00517,                   0,           0.0099591,           0.0089591,           0.0089591
                  25,            0.082574,            0.010595,                   0,             0.24288,             0.18477,             0.12609,            0.043307,            0.064405,            0.007057,                   0,             0.00901,             0.00901,             0.00901
                  26,            0.061687,            0.010834,                   0,             0.23696,             0.21201,             0.10714,            0.020488,            0.061393,           0.0065787,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.068978,            0.011203,                   0,             0.29491,             0.20848,              0.1402,            0.042873,            0.063534,           0.0064886,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.074488,            0.010581,                   0,             0.30338,             0.15194,             0.12119,            0.036604,            0.066471,           0.0063176,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.076922,            0.010806,                   0,             0.31656,             0.22261,             0.17083,            0.058316,            0.063128,           0.0059714,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.064195,            0.010019,                   0,             0.21951,             0.18375,             0.10536,            0.026906,            0.069895,           0.0053916,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.083084,            0.011182,                   0,             0.37932,             0.22968,             0.17305,            0.058553,            0.069378,           0.0065114,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.070923,            0.010861,                   0,             0.20837,             0.25442,             0.10706,            0.038347,            0.068636,           0.0084876,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.061496,            0.010158,                   0,             0.25507,             0.19788,             0.11218,            0.035411,            0.067539,           0.0093533,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,            0.066524,            0.010101,                   0,             0.31836,             0.25795,             0.16618,            0.051988,            0.062532,            0.009688,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.074619,            0.010188,                   0,             0.36131,             0.28269,             0.22976,             0.07817,             0.05826,           0.0093867,                   0,           0.0086536,           0.0086536,           0.0086536
                  36,            0.062156,            0.009897,                   0,              0.4021,             0.20848,             0.14396,            0.028031,            0.060977,           0.0091859,                   0,            0.008614,            0.008614,            0.008614
                  37,            0.064934,           0.0094927,                   0,             0.34618,             0.27316,             0.19466,            0.058303,            0.057872,           0.0070237,                   0,           0.0085744,           0.0085744,           0.0085744
                  38,            0.055664,            0.010246,                   0,             0.30167,             0.16961,             0.10151,            0.029616,            0.074141,           0.0047215,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.051987,            0.010816,                   0,             0.11151,            0.060071,            0.029926,           0.0068057,            0.098897,           0.0023176,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.062154,            0.010978,                   0,            0.077384,            0.028269,           0.0060999,           0.0012726,            0.097069,           0.0035287,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.060503,           0.0099765,                   0,             0.23983,             0.20141,             0.10443,            0.029324,            0.064928,            0.010383,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.061059,           0.0095061,                   0,             0.49428,             0.26502,             0.25015,            0.084362,            0.057344,           0.0069943,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.059554,           0.0095131,                   0,             0.51194,             0.29329,              0.2726,            0.093586,            0.054014,            0.008171,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.061164,           0.0094542,                   0,             0.47633,             0.28269,             0.25186,            0.082418,            0.057052,           0.0087804,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.061797,           0.0097753,                   0,             0.52654,             0.27915,             0.30054,            0.093941,            0.054338,           0.0078208,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.050428,           0.0095399,                   0,             0.51122,             0.30389,             0.31029,             0.10657,            0.052235,           0.0081409,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.069065,           0.0084117,                   0,             0.51444,             0.27562,             0.28902,             0.11155,            0.054235,           0.0068412,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,            0.046648,           0.0087203,                   0,             0.65472,             0.27472,             0.33242,             0.12472,            0.052205,           0.0070307,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.063151,           0.0093721,                   0,             0.55805,             0.28975,             0.32627,             0.13535,            0.050674,           0.0074495,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.060419,           0.0089325,                   0,             0.56482,             0.31645,              0.3339,             0.14276,            0.049455,           0.0070499,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,            0.059264,           0.0092623,                   0,             0.47422,             0.34421,             0.34279,             0.12728,            0.049492,           0.0072826,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.054167,           0.0090594,                   0,              0.6248,             0.31449,             0.36214,              0.1443,             0.04974,            0.006718,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,            0.073428,           0.0091399,                   0,             0.49634,             0.36749,             0.35612,             0.14013,            0.049356,           0.0071634,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,             0.04916,           0.0085058,                   0,             0.54645,             0.38742,             0.38519,              0.1453,            0.049861,            0.006666,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,            0.052569,           0.0093111,                   0,              0.5046,             0.37102,             0.35416,             0.12507,            0.050491,           0.0063847,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.055516,           0.0093169,                   0,             0.57337,             0.35689,             0.36849,             0.13555,            0.049879,           0.0064716,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.059832,           0.0091816,                   0,             0.57422,             0.33922,             0.35287,             0.14261,            0.049398,           0.0067445,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,            0.052958,           0.0085913,                   0,             0.65854,             0.34629,             0.37479,             0.14386,            0.048971,           0.0065534,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,            0.052982,            0.008997,                   0,             0.61405,             0.37809,             0.40044,             0.16099,            0.047625,           0.0066165,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,            0.050077,           0.0076188,                   0,              0.6337,             0.40283,             0.43143,             0.16722,            0.047242,           0.0063098,                   0,           0.0076636,           0.0076636,           0.0076636
                  61,             0.04925,            0.008317,                   0,             0.67996,             0.38163,             0.42543,             0.17574,            0.047617,            0.006346,                   0,            0.007624,            0.007624,            0.007624
                  62,            0.056793,           0.0078192,                   0,             0.65611,             0.34629,             0.39178,             0.14311,             0.04873,           0.0064201,                   0,           0.0075844,           0.0075844,           0.0075844
                  63,            0.055837,           0.0084168,                   0,              0.6198,             0.39576,             0.39553,             0.14988,             0.04908,           0.0064936,                   0,           0.0075448,           0.0075448,           0.0075448
                  64,            0.052077,           0.0085995,                   0,             0.65959,             0.37456,             0.40489,             0.17293,            0.048826,           0.0065659,                   0,           0.0075052,           0.0075052,           0.0075052
                  65,            0.062166,           0.0080789,                   0,              0.6158,             0.36749,             0.37235,             0.15323,            0.049525,           0.0067704,                   0,           0.0074656,           0.0074656,           0.0074656
                  66,            0.052696,           0.0081771,                   0,             0.70126,             0.31449,             0.36996,             0.15077,            0.050742,           0.0067787,                   0,            0.007426,            0.007426,            0.007426
                  67,            0.062625,           0.0086033,                   0,             0.60769,             0.35336,             0.37595,             0.15283,            0.049881,           0.0067073,                   0,           0.0073864,           0.0073864,           0.0073864
                  68,            0.060385,           0.0088305,                   0,             0.58931,             0.34629,             0.35847,             0.14715,            0.052168,           0.0068222,                   0,           0.0073468,           0.0073468,           0.0073468
                  69,            0.056926,           0.0088976,                   0,             0.62705,             0.30035,             0.33634,             0.14102,             0.05301,           0.0072099,                   0,           0.0073072,           0.0073072,           0.0073072
                  70,            0.061285,           0.0089174,                   0,             0.66148,             0.31802,             0.35067,              0.1386,             0.04937,            0.006507,                   0,           0.0072676,           0.0072676,           0.0072676
