               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12851,           0.0096605,                   0,              0.0002,            0.012245,          0.00010198,          2.1966e-05,            0.093668,             0.01003,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11182,           0.0092985,                   0,              0.0001,           0.0061224,          5.0506e-05,           6.739e-06,            0.092079,           0.0099001,                   0,            0.091896,          0.00089644,          0.00089644
                   2,             0.10852,            0.010216,                   0,          0.00013333,           0.0081633,          6.7229e-05,          1.6766e-05,            0.089395,           0.0097116,                   0,            0.087389,           0.0013889,           0.0013889
                   3,             0.10285,            0.010483,                   0,          0.00023333,            0.014286,          0.00011951,          3.2325e-05,            0.087772,           0.0092697,                   0,            0.082877,           0.0018774,           0.0018774
                   4,             0.10194,            0.010274,                   0,          0.00043333,            0.026531,          0.00022354,          4.4411e-05,            0.085958,           0.0095679,                   0,            0.078362,            0.002362,            0.002362
                   5,            0.090053,            0.011135,                   0,               0.001,            0.061224,           0.0005483,          0.00014222,            0.080375,            0.010778,                   0,            0.073843,           0.0028426,           0.0028426
                   6,            0.088123,            0.011311,                   0,           0.0017333,             0.10612,           0.0013883,          0.00036363,             0.07726,              0.0117,                   0,            0.069319,           0.0033192,           0.0033192
                   7,            0.092876,            0.013159,                   0,           0.0025667,             0.15714,           0.0041543,           0.0011578,            0.073279,            0.012256,                   0,            0.064792,           0.0037919,           0.0037919
                   8,            0.086397,             0.01433,                   0,           0.0047667,             0.29184,            0.020434,           0.0046871,            0.069843,            0.012178,                   0,            0.060261,           0.0042606,           0.0042606
                   9,            0.081442,            0.013204,                   0,             0.09583,            0.095918,            0.025699,           0.0066899,            0.077912,            0.010956,                   0,            0.055725,           0.0047254,           0.0047254
                  10,            0.092232,            0.012551,                   0,             0.16844,             0.12653,            0.063857,            0.013129,            0.066741,            0.010933,                   0,            0.051186,           0.0051862,           0.0051862
