               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13071,           0.0095727,                   0,          8.4926e-05,           0.0070175,           4.302e-05,          5.3861e-06,             0.13967,           0.0095339,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11168,           0.0095747,                   0,          6.3694e-05,           0.0052632,          3.2141e-05,          8.5673e-06,             0.13726,           0.0093284,                   0,            0.091896,          0.00089644,          0.00089644
                   2,             0.10863,            0.010427,                   0,          8.4926e-05,           0.0070175,          4.2786e-05,          1.7103e-05,             0.13162,           0.0091863,                   0,            0.087389,           0.0013889,           0.0013889
                   3,             0.10338,            0.010678,                   0,          0.00027601,            0.022807,          0.00014409,          3.1684e-05,             0.12792,           0.0091314,                   0,            0.082877,           0.0018774,           0.0018774
                   4,             0.10069,             0.01038,                   0,          0.00025478,            0.021053,          0.00013048,          2.8166e-05,             0.12077,            0.010048,                   0,            0.078362,            0.002362,            0.002362
                   5,             0.09089,            0.011397,                   0,          0.00021231,            0.017544,          0.00010805,          2.3651e-05,             0.12268,             0.01051,                   0,            0.073843,           0.0028426,           0.0028426
                   6,            0.088116,            0.011448,                   0,           0.0007431,            0.061404,          0.00039488,          0.00010528,             0.11849,            0.011454,                   0,            0.069319,           0.0033192,           0.0033192
                   7,            0.094036,            0.012814,                   0,           0.0030998,             0.25614,           0.0048827,           0.0015863,             0.11616,            0.011562,                   0,            0.064792,           0.0037919,           0.0037919
                   8,             0.08968,            0.013346,                   0,           0.0074835,             0.38596,            0.050394,           0.0094831,             0.10932,            0.011933,                   0,            0.060261,           0.0042606,           0.0042606
                   9,            0.086571,            0.012959,                   0,             0.16647,             0.15088,            0.052594,            0.009738,             0.10874,            0.011585,                   0,            0.055725,           0.0047254,           0.0047254
                  10,            0.092658,             0.01234,                   0,             0.15668,             0.22982,            0.065754,            0.013886,             0.11398,            0.011866,                   0,            0.051186,           0.0051862,           0.0051862
                  11,            0.074378,            0.011954,                   0,             0.17253,             0.28947,            0.075907,            0.019856,             0.10792,            0.012821,                   0,            0.046643,            0.005643,            0.005643
                  12,            0.097888,            0.011145,                   0,             0.32926,              0.3193,             0.21334,            0.057682,             0.10245,             0.01359,                   0,            0.042096,           0.0060959,           0.0060959
                  13,            0.084139,            0.010263,                   0,              0.2083,             0.27419,             0.12041,            0.023933,             0.10828,            0.012723,                   0,            0.037545,           0.0065448,           0.0065448
                  14,            0.087972,            0.010743,                   0,             0.22877,             0.25655,             0.11712,            0.023643,             0.11115,            0.011594,                   0,             0.03299,           0.0069897,           0.0069897
                  15,            0.084983,            0.010541,                   0,             0.17378,             0.19474,            0.087176,            0.015821,             0.11243,             0.01052,                   0,            0.028431,           0.0074307,           0.0074307
                  16,            0.074142,            0.010988,                   0,             0.18514,             0.35088,             0.11944,            0.029569,             0.10023,            0.010129,                   0,            0.023868,           0.0078678,           0.0078678
                  17,            0.074891,            0.011688,                   0,             0.29112,             0.29123,             0.19146,            0.049578,            0.099479,            0.010051,                   0,            0.019301,           0.0083009,           0.0083009
                  18,            0.078832,            0.011674,                   0,             0.21531,             0.30175,             0.11903,            0.034833,             0.10565,           0.0091609,                   0,             0.01473,             0.00873,             0.00873
                  19,            0.063657,            0.011564,                   0,             0.39232,             0.37018,             0.26281,            0.069349,            0.099045,            0.010021,                   0,            0.010155,           0.0091551,           0.0091551
                  20,            0.082225,            0.011492,                   0,             0.43238,             0.47308,             0.32861,              0.1056,            0.095644,            0.011899,                   0,            0.009208,            0.009208,            0.009208
                  21,            0.053388,            0.010711,                   0,             0.32476,             0.45439,             0.27364,            0.085555,            0.096868,            0.014273,                   0,            0.009208,            0.009208,            0.009208
                  22,             0.07934,            0.011223,                   0,             0.34782,             0.53333,             0.34631,             0.10314,            0.091784,            0.024976,                   0,           0.0091684,           0.0091684,           0.0091684
