               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12897,           0.0090786,                   0,          4.2463e-05,           0.0035088,          2.1392e-05,          2.1392e-06,             0.14018,            0.009537,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11485,           0.0093229,                   0,          6.3694e-05,           0.0052632,           3.211e-05,          4.2777e-06,             0.13853,           0.0093284,                   0,            0.093697,          0.00069723,          0.00069723
                   2,             0.11415,           0.0097828,                   0,          4.2463e-05,           0.0035088,          2.1496e-05,          5.3826e-06,             0.13609,            0.009435,                   0,            0.090091,           0.0010913,           0.0010913
                   3,             0.12126,             0.01033,                   0,          0.00019108,            0.015789,          9.7103e-05,          2.8991e-05,             0.12688,           0.0096359,                   0,            0.086482,           0.0014822,           0.0014822
                   4,            0.094612,            0.010842,                   0,          0.00046709,            0.038596,          0.00024294,          6.1191e-05,             0.12846,             0.01021,                   0,             0.08287,           0.0018699,           0.0018699
                   5,              0.1036,            0.012119,                   0,           0.0014862,             0.12281,          0.00086374,          0.00020385,             0.11689,            0.011185,                   0,            0.079254,           0.0022545,           0.0022545
                   6,            0.096488,            0.012445,                   0,          0.00091295,            0.075439,          0.00067297,          0.00017282,             0.11121,            0.011956,                   0,            0.075636,           0.0026358,           0.0026358
                   7,            0.092839,            0.013506,                   0,           0.0021444,             0.17719,            0.005166,           0.0011493,             0.11053,             0.01303,                   0,            0.072014,           0.0030141,           0.0030141
                   8,            0.088217,            0.015251,                   0,           0.0044762,             0.17719,           0.0054015,           0.0011706,             0.11339,            0.013529,                   0,            0.068389,           0.0033891,           0.0033891
                   9,            0.087948,             0.01468,                   0,           0.0060934,             0.50351,            0.013799,           0.0035507,             0.10831,            0.012717,                   0,            0.064761,            0.003761,            0.003761
                  10,            0.086108,            0.013856,                   0,            0.078977,              0.1386,            0.036497,            0.007228,             0.11986,            0.011967,                   0,             0.06113,           0.0041297,           0.0041297
                  11,            0.079688,            0.014336,                   0,             0.33704,             0.28772,             0.19615,            0.039287,             0.11324,            0.010634,                   0,            0.057495,           0.0044953,           0.0044953
                  12,            0.071338,            0.012552,                   0,             0.31738,             0.34386,             0.19377,            0.050632,            0.099544,            0.011927,                   0,            0.053858,           0.0048576,           0.0048576
                  13,            0.080411,            0.011609,                   0,              0.3234,             0.35614,             0.23677,            0.066211,              0.1065,            0.013525,                   0,            0.050217,           0.0052169,           0.0052169
                  14,            0.090902,            0.011621,                   0,             0.47532,             0.43684,             0.38192,             0.12831,             0.10101,            0.013501,                   0,            0.046573,           0.0055729,           0.0055729
                  15,             0.07104,            0.010789,                   0,             0.11372,             0.17544,            0.041313,             0.00893,             0.10705,            0.010571,                   0,            0.042926,           0.0059258,           0.0059258
                  16,            0.079289,            0.011637,                   0,             0.36271,             0.38596,             0.28467,            0.088833,             0.10078,            0.010381,                   0,            0.039275,           0.0062755,           0.0062755
                  17,            0.072445,            0.011372,                   0,             0.13543,             0.28246,             0.08731,            0.018478,             0.11351,            0.010737,                   0,            0.035622,            0.006622,            0.006622
                  18,            0.085319,            0.010731,                   0,             0.24615,             0.33509,             0.13372,            0.032543,              0.1035,            0.010106,                   0,            0.031965,           0.0069654,           0.0069654
                  19,            0.083757,            0.010798,                   0,             0.39052,             0.36871,             0.29724,            0.084685,            0.096171,           0.0098367,                   0,            0.028306,           0.0073056,           0.0073056
                  20,             0.06494,            0.010192,                   0,              0.3355,             0.42281,             0.24452,            0.065504,             0.12207,           0.0087286,                   0,            0.024643,           0.0076426,           0.0076426
                  21,            0.083792,            0.011887,                   0,             0.37794,             0.42982,             0.31332,             0.10933,             0.12147,             0.01753,                   0,            0.020977,           0.0079765,           0.0079765
                  22,            0.083551,            0.011043,                   0,             0.22212,             0.22632,             0.11932,            0.027535,             0.10265,            0.013164,                   0,            0.017307,           0.0083072,           0.0083072
                  23,            0.068492,            0.010728,                   0,             0.14334,             0.30175,            0.089945,            0.019943,             0.10949,            0.010473,                   0,            0.013635,           0.0086347,           0.0086347
                  24,            0.075784,            0.011278,                   0,             0.23279,             0.32281,             0.14932,            0.027701,             0.11834,            0.014467,                   0,           0.0099591,           0.0089591,           0.0089591
                  25,            0.091107,           0.0099566,                   0,             0.48706,             0.47368,             0.37031,             0.13161,              0.1018,            0.011239,                   0,             0.00901,             0.00901,             0.00901
                  26,            0.065095,            0.010682,                   0,             0.32026,             0.38519,             0.20578,            0.058095,             0.10961,            0.012063,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.072341,            0.010838,                   0,             0.52131,             0.44211,             0.40749,             0.16795,             0.11169,            0.008991,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.077033,            0.010667,                   0,             0.49261,             0.39825,             0.36842,             0.12636,            0.094058,            0.010269,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.078343,            0.010539,                   0,               0.596,             0.45614,             0.45392,             0.18151,            0.092899,           0.0091249,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.063192,            0.010316,                   0,             0.41302,             0.36316,             0.31475,             0.10458,             0.10163,           0.0093773,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.076092,            0.011484,                   0,             0.17162,             0.19123,            0.090372,            0.019125,             0.10651,            0.010476,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.071839,            0.010848,                   0,            0.088823,             0.17018,            0.034174,           0.0090471,             0.11869,            0.020738,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.069144,            0.010171,                   0,            0.010099,            0.089474,           0.0028132,          0.00064791,                 nan,                 nan,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,            0.067008,             0.01046,                   0,             0.11707,             0.20351,            0.044147,           0.0098245,                 nan,                 nan,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.076049,            0.010338,                   0,              0.5947,             0.50702,              0.5338,             0.19083,             0.11436,            0.020403,                   0,           0.0086536,           0.0086536,           0.0086536
                  36,            0.062645,           0.0097946,                   0,             0.51138,             0.54035,             0.43326,             0.15346,            0.093993,             0.01267,                   0,            0.008614,            0.008614,            0.008614
