               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094911,           0.0097674,                   0,          3.9216e-05,           0.0047619,           1.974e-05,           3.948e-06,             0.09441,           0.0075131,                   0,                 0.1,                   0,                   0
                   1,             0.14261,            0.010016,                   0,          3.9216e-05,           0.0047619,          1.9734e-05,          1.9734e-06,            0.094155,           0.0076398,                   0,              0.0991,          9.9604e-05,          9.9604e-05
                   2,             0.13886,           0.0093137,                   0,                   0,                   0,                   0,                   0,            0.094246,           0.0075672,                   0,            0.098198,          0.00019842,          0.00019842
                   3,                0.14,             0.01003,                   0,                   0,                   0,                   0,                   0,            0.094379,           0.0074946,                   0,            0.097296,          0.00029644,          0.00029644
                   4,             0.13928,            0.010329,                   0,                   0,                   0,                   0,                   0,            0.094379,           0.0074606,                   0,            0.096394,          0.00039366,          0.00039366
                   5,            0.095538,           0.0093636,                   0,                   0,                   0,                   0,                   0,            0.094121,           0.0074389,                   0,             0.09549,           0.0004901,           0.0004901
                   6,            0.095024,            0.010076,                   0,                   0,                   0,                   0,                   0,            0.093521,           0.0074498,                   0,            0.094586,          0.00058574,          0.00058574
                   7,             0.13719,            0.009454,                   0,          3.9216e-05,           0.0047619,          1.9701e-05,          3.9402e-06,            0.093083,           0.0074467,                   0,            0.093681,           0.0006806,           0.0006806
                   8,             0.14232,           0.0094572,                   0,          3.9216e-05,           0.0047619,          1.9701e-05,          1.9701e-06,            0.092626,            0.007425,                   0,            0.092775,          0.00077466,          0.00077466
                   9,             0.14013,            0.010886,                   0,                   0,                   0,                   0,                   0,            0.092037,           0.0074312,                   0,            0.091868,          0.00086792,          0.00086792
                  10,             0.13214,            0.010932,                   0,          3.9216e-05,           0.0047619,          1.9701e-05,          1.9701e-06,            0.092061,           0.0073988,                   0,             0.09096,           0.0009604,           0.0009604
                  11,             0.13236,            0.010498,                   0,                   0,                   0,                   0,                   0,            0.091783,           0.0073802,                   0,            0.090052,           0.0010521,           0.0010521
                  12,            0.091158,            0.010746,                   0,                   0,                   0,                   0,                   0,            0.091241,           0.0072474,                   0,            0.089143,            0.001143,            0.001143
                  13,            0.091253,            0.011066,                   0,                   0,                   0,                   0,                   0,            0.090446,           0.0071547,                   0,            0.088233,           0.0012331,           0.0012331
                  14,            0.089643,             0.01137,                   0,          3.9216e-05,           0.0047619,          1.9747e-05,          9.8736e-06,            0.089685,           0.0070882,                   0,            0.087322,           0.0013224,           0.0013224
                  15,              0.1305,            0.011988,                   0,          0.00011765,            0.014286,           5.968e-05,          2.5784e-05,            0.089225,            0.007045,                   0,            0.086411,           0.0014109,           0.0014109
                  16,             0.12964,            0.010964,                   0,          0.00019608,             0.02381,          0.00010048,          3.1882e-05,            0.088845,           0.0069469,                   0,            0.085499,           0.0014986,           0.0014986
                  17,              0.1313,            0.010791,                   0,          0.00019608,             0.02381,          0.00010052,          3.8024e-05,            0.088385,           0.0069129,                   0,            0.084586,           0.0015856,           0.0015856
                  18,             0.13616,            0.011358,                   0,          0.00023529,            0.028571,          0.00012288,          4.2448e-05,            0.087985,           0.0068526,                   0,            0.083672,           0.0016717,           0.0016717
                  19,            0.087884,            0.011253,                   0,          0.00031373,            0.038095,          0.00016382,          4.4409e-05,             0.08716,            0.006787,                   0,            0.082757,            0.001757,            0.001757
                  20,             0.13247,             0.01153,                   0,          0.00027451,            0.033333,          0.00014284,          5.2441e-05,            0.086464,           0.0067275,                   0,            0.081842,           0.0018416,           0.0018416
                  21,             0.12958,            0.011313,                   0,          0.00027451,            0.033333,          0.00014291,          5.2726e-05,            0.085972,           0.0067267,                   0,            0.080925,           0.0019254,           0.0019254
                  22,            0.086527,             0.01162,                   0,          0.00027451,            0.033333,          0.00014254,          3.2232e-05,            0.085144,           0.0067028,                   0,            0.080008,           0.0020083,           0.0020083
                  23,            0.086723,              0.0113,                   0,          0.00043137,            0.052381,          0.00022807,          4.2801e-05,            0.084126,            0.006736,                   0,            0.079091,           0.0020905,           0.0020905
                  24,            0.085572,            0.010602,                   0,          0.00054902,            0.066667,          0.00029533,           8.077e-05,            0.082757,           0.0067924,                   0,            0.078172,           0.0021719,           0.0021719
                  25,             0.12982,            0.011892,                   0,           0.0007451,            0.090476,           0.0004187,          0.00013136,             0.08159,           0.0069013,                   0,            0.077253,           0.0022525,           0.0022525
                  26,             0.12597,            0.013028,                   0,           0.0007451,            0.090476,          0.00043133,          0.00011855,             0.08078,           0.0070558,                   0,            0.076332,           0.0023323,           0.0023323
                  27,            0.082753,            0.012021,                   0,          0.00062745,             0.07619,          0.00036824,          0.00010055,            0.079412,           0.0071361,                   0,            0.075411,           0.0024113,           0.0024113
                  28,             0.12064,            0.012481,                   0,          0.00062745,             0.07619,          0.00036648,           9.082e-05,            0.078824,           0.0071964,                   0,             0.07449,           0.0024895,           0.0024895
                  29,              0.1221,            0.012317,                   0,          0.00062745,             0.07619,          0.00039641,          9.2954e-05,            0.078201,           0.0072458,                   0,            0.073567,            0.002567,            0.002567
                  30,             0.13068,            0.014159,                   0,          0.00070588,            0.085714,          0.00045834,          0.00011709,            0.077502,           0.0073246,                   0,            0.072644,           0.0026436,           0.0026436
                  31,            0.081323,            0.012117,                   0,           0.0005098,            0.061905,          0.00027398,          6.8057e-05,            0.078928,           0.0072597,                   0,            0.071719,           0.0027194,           0.0027194
                  32,             0.12265,            0.013606,                   0,          0.00078431,            0.095238,          0.00044897,          0.00012017,            0.078078,           0.0073401,                   0,            0.070794,           0.0027945,           0.0027945
                  33,             0.12483,            0.014288,                   0,            0.001098,             0.13333,           0.0006521,          0.00016377,            0.076536,           0.0075301,                   0,            0.069869,           0.0028688,           0.0028688
                  34,             0.11782,            0.011409,                   0,           0.0019216,             0.23333,           0.0015314,          0.00038258,            0.073588,           0.0077742,                   0,            0.068942,           0.0029422,           0.0029422
                  35,             0.12519,            0.012715,                   0,           0.0012941,             0.15714,           0.0011547,          0.00027958,            0.074399,           0.0077425,                   0,            0.068015,           0.0030149,           0.0030149
                  36,            0.079998,            0.013181,                   0,               0.002,             0.24286,           0.0045487,           0.0011524,            0.071136,           0.0080577,                   0,            0.067087,           0.0030868,           0.0030868
                  37,             0.11633,            0.012909,                   0,            0.010442,             0.14762,           0.0085081,           0.0016963,            0.070715,           0.0080956,                   0,            0.066158,           0.0031579,           0.0031579
                  38,             0.11798,            0.013261,                   0,            0.037471,            0.080952,            0.013883,           0.0030419,            0.069832,           0.0081411,                   0,            0.065228,           0.0032282,           0.0032282
                  39,             0.11745,            0.014206,                   0,            0.028182,              0.1619,            0.017499,            0.004008,            0.069024,           0.0082207,                   0,            0.064298,           0.0032977,           0.0032977
                  40,            0.076161,            0.013089,                   0,           0.0026275,             0.31905,            0.010733,           0.0020775,            0.069655,           0.0081983,                   0,            0.063366,           0.0033664,           0.0033664
                  41,            0.074616,             0.01293,                   0,           0.0019216,             0.23333,           0.0033638,          0.00065153,            0.070918,           0.0081469,                   0,            0.062434,           0.0034343,           0.0034343
                  42,             0.12853,            0.012893,                   0,              0.1265,            0.080952,             0.03093,           0.0050001,            0.066657,           0.0083342,                   0,            0.061501,           0.0035015,           0.0035015
                  43,            0.073356,            0.013872,                   0,            0.003123,             0.18095,           0.0020253,          0.00048134,            0.072133,           0.0080326,                   0,            0.060568,           0.0035678,           0.0035678
                  44,            0.075625,            0.015059,                   0,              0.1986,            0.071429,            0.041257,            0.010381,            0.064239,           0.0085494,                   0,            0.059633,           0.0036333,           0.0036333
                  45,            0.070278,            0.015976,                   0,           0.0025882,             0.31429,            0.003887,           0.0010705,            0.076909,           0.0078638,                   0,            0.058698,           0.0036981,           0.0036981
                  46,            0.078514,            0.013158,                   0,            0.003451,             0.41905,            0.010807,           0.0025832,            0.066357,           0.0081948,                   0,            0.057762,           0.0037621,           0.0037621
                  47,             0.10772,            0.015847,                   0,             0.06265,            0.047619,            0.022713,           0.0048996,            0.061901,           0.0083018,                   0,            0.056825,           0.0038252,           0.0038252
                  48,             0.10208,            0.013823,                   0,             0.12339,            0.090476,            0.046053,            0.010034,            0.060769,           0.0082168,                   0,            0.055888,           0.0038876,           0.0038876
                  49,              0.1049,            0.015449,                   0,             0.14717,             0.10476,            0.054826,            0.011816,            0.060918,           0.0080295,                   0,            0.054949,           0.0039492,           0.0039492
                  50,            0.068485,            0.015873,                   0,            0.028765,             0.32381,            0.015542,           0.0038252,            0.074416,           0.0071798,                   0,             0.05401,             0.00401,             0.00401
                  51,             0.11788,            0.014648,                   0,            0.045038,              0.2619,            0.020244,           0.0043242,            0.072489,           0.0070655,                   0,             0.05307,             0.00407,             0.00407
                  52,             0.10616,            0.013554,                   0,             0.13656,             0.14286,            0.054338,            0.010319,            0.066988,           0.0071705,                   0,            0.052129,           0.0041292,           0.0041292
                  53,             0.10954,            0.015365,                   0,             0.18667,             0.19048,             0.08674,            0.017544,             0.06092,           0.0074026,                   0,            0.051188,           0.0041876,           0.0041876
                  54,             0.10562,            0.016486,                   0,             0.20329,             0.23333,              0.1074,            0.021539,             0.05879,           0.0074343,                   0,            0.050245,           0.0042453,           0.0042453
                  55,            0.062653,            0.014693,                   0,             0.19343,              0.2381,            0.090687,            0.021064,            0.076061,           0.0063119,                   0,            0.049302,           0.0043021,           0.0043021
                  56,             0.11269,            0.012912,                   0,             0.26503,              0.2381,              0.1447,            0.032073,            0.070144,           0.0065788,                   0,            0.048358,           0.0043581,           0.0043581
                  57,              0.1077,            0.015004,                   0,             0.35583,             0.24762,             0.19843,            0.050393,            0.065407,           0.0066499,                   0,            0.047413,           0.0044134,           0.0044134
                  58,            0.064442,            0.013577,                   0,             0.23552,             0.24762,             0.13803,            0.028919,            0.064638,           0.0065382,                   0,            0.046468,           0.0044679,           0.0044679
                  59,            0.066927,               0.015,                   0,            0.099924,             0.21429,            0.038701,            0.008144,            0.064395,           0.0062617,                   0,            0.045522,           0.0045215,           0.0045215
                  60,            0.067239,            0.011987,                   0,             0.38484,             0.33333,             0.26453,            0.079239,            0.067005,           0.0064757,                   0,            0.044574,           0.0045744,           0.0045744
                  61,             0.10701,            0.013674,                   0,             0.37612,             0.33876,             0.27338,            0.079924,            0.064779,           0.0066452,                   0,            0.043626,           0.0046265,           0.0046265
                  62,              0.1041,            0.013278,                   0,             0.34354,             0.29048,             0.23864,              0.0674,            0.053703,           0.0074753,                   0,            0.042678,           0.0046778,           0.0046778
                  63,            0.061559,            0.013064,                   0,             0.48523,             0.27619,             0.28799,            0.099662,            0.070545,            0.006987,                   0,            0.041728,           0.0047283,           0.0047283
                  64,             0.10451,             0.01279,                   0,             0.52601,                 0.3,             0.29712,            0.099281,            0.068829,           0.0086923,                   0,            0.040778,            0.004778,            0.004778
                  65,            0.066272,            0.012637,                   0,             0.39233,             0.29048,             0.22835,            0.055508,            0.058441,           0.0099854,                   0,            0.039827,           0.0048269,           0.0048269
                  66,            0.099067,            0.014585,                   0,             0.40431,             0.34286,             0.26896,            0.067826,            0.057445,            0.010808,                   0,            0.038875,            0.004875,            0.004875
                  67,             0.10147,            0.014422,                   0,               0.428,             0.34762,             0.30053,            0.082182,               0.057,           0.0086448,                   0,            0.037922,           0.0049224,           0.0049224
                  68,             0.10387,            0.014383,                   0,             0.48992,              0.3619,             0.30839,            0.094713,            0.055063,           0.0079526,                   0,            0.036969,           0.0049689,           0.0049689
                  69,             0.09927,            0.012998,                   0,             0.46321,             0.35238,              0.3017,            0.096285,            0.055256,           0.0074038,                   0,            0.036015,           0.0050146,           0.0050146
                  70,             0.10322,            0.014175,                   0,             0.44863,             0.34484,             0.28614,            0.094736,            0.053785,           0.0071535,                   0,             0.03506,           0.0050596,           0.0050596
                  71,            0.063171,            0.013164,                   0,             0.28668,             0.42857,             0.24017,            0.068215,            0.060702,           0.0061559,                   0,            0.034104,           0.0051038,           0.0051038
                  72,            0.061854,            0.012724,                   0,             0.25508,              0.2381,              0.1152,            0.022095,            0.061634,           0.0059295,                   0,            0.033147,           0.0051471,           0.0051471
                  73,            0.064667,            0.012219,                   0,             0.34154,             0.29524,             0.24282,            0.067613,            0.059662,           0.0054672,                   0,             0.03219,           0.0051897,           0.0051897
                  74,             0.10162,            0.012413,                   0,             0.50405,              0.3381,             0.32463,             0.12208,            0.057197,            0.005457,                   0,            0.031232,           0.0052315,           0.0052315
                  75,            0.096126,            0.014274,                   0,             0.47375,              0.3381,             0.32875,             0.11626,            0.055591,           0.0054191,                   0,            0.030272,           0.0052725,           0.0052725
                  76,            0.057471,            0.014728,                   0,             0.33291,             0.29705,             0.22485,            0.060985,            0.063337,           0.0053237,                   0,            0.029313,           0.0053127,           0.0053127
                  77,             0.10288,            0.012376,                   0,             0.44226,             0.31719,             0.28672,             0.09678,            0.061352,           0.0055247,                   0,            0.028352,           0.0053521,           0.0053521
                  78,            0.099192,            0.013835,                   0,             0.52848,             0.34159,             0.33814,             0.11971,            0.056142,           0.0059855,                   0,            0.027391,           0.0053907,           0.0053907
                  79,            0.096016,            0.014121,                   0,              0.4907,             0.36667,             0.34136,             0.12558,            0.054064,           0.0063579,                   0,            0.026429,           0.0054286,           0.0054286
                  80,              0.0574,            0.012447,                   0,             0.28702,             0.32857,             0.18566,            0.046632,            0.058484,           0.0069762,                   0,            0.025466,           0.0054656,           0.0054656
                  81,            0.057479,            0.012156,                   0,             0.17949,             0.33333,             0.10949,            0.032719,              0.0598,           0.0068339,                   0,            0.024502,           0.0055018,           0.0055018
                  82,             0.10328,            0.013595,                   0,             0.25475,             0.40952,             0.19713,            0.054477,            0.057545,           0.0070174,                   0,            0.023537,           0.0055373,           0.0055373
                  83,              0.1027,            0.013413,                   0,             0.36615,             0.35714,             0.25524,            0.062358,            0.054111,           0.0068461,                   0,            0.022572,            0.005572,            0.005572
                  84,             0.09554,            0.014782,                   0,             0.33126,             0.37977,             0.24298,            0.069878,            0.056688,           0.0064625,                   0,            0.021606,           0.0056058,           0.0056058
                  85,             0.05497,            0.012872,                   0,              0.3264,              0.3619,             0.23555,            0.077763,            0.060569,           0.0064606,                   0,            0.020639,           0.0056389,           0.0056389
                  86,            0.099829,            0.010273,                   0,             0.34126,             0.35238,             0.25358,            0.091855,            0.059902,           0.0056709,                   0,            0.019671,           0.0056712,           0.0056712
                  87,            0.063543,            0.011424,                   0,             0.39802,             0.31905,             0.27386,            0.091496,            0.065442,           0.0049981,                   0,            0.018703,           0.0057027,           0.0057027
                  88,            0.062214,            0.013207,                   0,             0.30874,             0.22857,             0.14764,            0.036898,            0.057238,           0.0054087,                   0,            0.017733,           0.0057334,           0.0057334
                  89,            0.095819,            0.013637,                   0,              0.3294,             0.39297,             0.25627,            0.075136,            0.053163,           0.0055405,                   0,            0.016763,           0.0057633,           0.0057633
                  90,            0.091757,            0.012943,                   0,             0.52382,             0.30952,             0.32366,             0.13267,            0.054511,           0.0053659,                   0,            0.015792,           0.0057924,           0.0057924
                  91,            0.056932,            0.015744,                   0,             0.37024,             0.26667,             0.22319,            0.049513,            0.057142,           0.0056281,                   0,            0.014821,           0.0058207,           0.0058207
                  92,            0.094858,            0.012489,                   0,             0.36239,             0.28571,             0.22676,            0.056722,            0.059086,           0.0053689,                   0,            0.013848,           0.0058483,           0.0058483
                  93,            0.058823,            0.013662,                   0,             0.20278,             0.26769,             0.13523,            0.038581,            0.066456,           0.0048202,                   0,            0.012875,            0.005875,            0.005875
                  94,            0.096984,            0.013516,                   0,              0.3317,             0.30476,              0.1813,            0.066425,            0.063729,           0.0050031,                   0,            0.011901,           0.0059009,           0.0059009
