               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12732,           0.0093798,                   0,          4.2463e-05,           0.0035088,          2.1398e-05,          2.1398e-06,             0.14028,           0.0095972,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12504,           0.0092586,                   0,          4.2463e-05,           0.0035088,          2.1398e-05,          2.1398e-06,             0.14053,           0.0094242,                   0,            0.095498,          0.00049802,          0.00049802
                   2,            0.093661,            0.009427,                   0,          8.4926e-05,           0.0070175,          4.2906e-05,          6.4337e-06,             0.13925,           0.0093439,                   0,            0.092794,          0.00079366,          0.00079366
                   3,              0.1202,            0.010266,                   0,          8.4926e-05,           0.0070175,          4.2814e-05,          5.3539e-06,             0.13612,           0.0096606,                   0,            0.090087,           0.0010869,           0.0010869
                   4,             0.10385,            0.010488,                   0,          0.00016985,            0.014035,          8.6179e-05,          1.0749e-05,             0.13181,           0.0098522,                   0,            0.087378,           0.0013778,           0.0013778
                   5,              0.1001,            0.010533,                   0,          0.00025478,            0.021053,           0.0001301,          2.1599e-05,             0.12867,           0.0099588,                   0,            0.084666,           0.0016663,           0.0016663
                   6,            0.085715,             0.01083,                   0,          0.00029724,            0.024561,          0.00015291,          3.2561e-05,             0.12552,            0.010229,                   0,            0.081952,           0.0019525,           0.0019525
                   7,            0.093026,            0.011178,                   0,          0.00095541,            0.078947,          0.00052793,          0.00011068,             0.12434,            0.010934,                   0,            0.079236,           0.0022362,           0.0022362
                   8,             0.10673,            0.012781,                   0,          0.00082803,            0.068421,          0.00046233,          0.00011339,             0.10947,            0.011303,                   0,            0.076518,           0.0025176,           0.0025176
                   9,            0.088903,            0.011634,                   0,           0.0030361,             0.25088,           0.0032813,          0.00082885,             0.11276,            0.012531,                   0,            0.073797,           0.0027966,           0.0027966
                  10,            0.076037,              0.0127,                   0,           0.0034395,             0.28421,            0.011519,           0.0027015,              0.1082,            0.013308,                   0,            0.071073,           0.0030733,           0.0030733
                  11,            0.072076,            0.013059,                   0,           0.0029512,             0.24386,           0.0025994,          0.00057303,             0.11625,            0.012775,                   0,            0.068348,           0.0033475,           0.0033475
                  12,            0.083227,            0.014408,                   0,           0.0045648,             0.37719,           0.0053324,           0.0014034,             0.11772,            0.012355,                   0,            0.065619,           0.0036194,           0.0036194
                  13,            0.080375,            0.014348,                   0,             0.16773,             0.14561,            0.057664,            0.013849,             0.10331,            0.012838,                   0,            0.062889,           0.0038889,           0.0038889
                  14,            0.082829,            0.015362,                   0,             0.16109,             0.24035,            0.073499,            0.018348,               0.105,            0.011777,                   0,            0.060156,           0.0041561,           0.0041561
                  15,            0.087711,            0.013896,                   0,             0.27558,             0.26629,              0.1652,            0.037621,              0.1249,            0.010795,                   0,            0.057421,           0.0044208,           0.0044208
                  16,            0.079491,            0.012675,                   0,             0.18627,              0.2807,            0.098422,            0.019336,             0.13094,            0.010084,                   0,            0.054683,           0.0046832,           0.0046832
                  17,            0.064096,            0.011932,                   0,             0.29785,             0.31579,             0.18026,             0.04866,             0.11769,            0.013165,                   0,            0.051943,           0.0049432,           0.0049432
                  18,            0.085499,            0.011497,                   0,            0.047398,             0.16667,            0.021424,           0.0042689,             0.12559,            0.014086,                   0,            0.049201,           0.0052008,           0.0052008
                  19,            0.098032,             0.01023,                   0,            0.093682,             0.12281,             0.03393,           0.0067914,               0.117,            0.011216,                   0,            0.046456,           0.0054561,           0.0054561
                  20,            0.092716,            0.010183,                   0,             0.26456,             0.24561,             0.15273,            0.028557,             0.11478,            0.010051,                   0,            0.043709,            0.005709,            0.005709
                  21,            0.076115,             0.01012,                   0,             0.40595,             0.33333,             0.26875,            0.064134,             0.10883,            0.009656,                   0,            0.040959,           0.0059595,           0.0059595
                  22,            0.085785,             0.01131,                   0,               0.488,                 0.4,             0.38211,             0.11046,             0.11378,           0.0092547,                   0,            0.038208,           0.0062076,           0.0062076
                  23,            0.057894,            0.010886,                   0,             0.19407,             0.23684,             0.11063,            0.023813,             0.12323,           0.0092494,                   0,            0.035453,           0.0064533,           0.0064533
                  24,            0.075045,            0.011481,                   0,              0.4359,              0.3091,             0.28398,            0.078713,             0.12454,           0.0079214,                   0,            0.032697,           0.0066967,           0.0066967
                  25,            0.056392,            0.010618,                   0,             0.24198,             0.35439,              0.1882,            0.044283,             0.11459,           0.0085571,                   0,            0.029938,           0.0069377,           0.0069377
                  26,            0.056482,            0.010724,                   0,             0.41739,             0.42632,             0.37374,             0.12365,             0.11635,           0.0080704,                   0,            0.027176,           0.0071763,           0.0071763
                  27,            0.067038,            0.011354,                   0,             0.32908,             0.41579,             0.24668,            0.079209,             0.11291,           0.0093978,                   0,            0.024413,           0.0074126,           0.0074126
                  28,            0.063905,            0.011063,                   0,             0.27018,             0.33684,             0.18644,            0.054953,             0.11037,            0.010126,                   0,            0.021646,           0.0076464,           0.0076464
                  29,            0.054633,           0.0099467,                   0,             0.33012,             0.38947,             0.22053,            0.072143,             0.10203,           0.0088281,                   0,            0.018878,           0.0078779,           0.0078779
                  30,            0.082412,            0.010825,                   0,             0.33227,             0.34035,             0.20886,            0.070787,             0.10709,            0.008487,                   0,            0.016107,            0.008107,            0.008107
                  31,            0.090208,            0.012548,                   0,             0.37156,             0.34386,             0.23091,            0.074705,             0.10261,            0.010419,                   0,            0.013334,           0.0083338,           0.0083338
                  32,            0.085846,            0.010346,                   0,             0.64501,             0.42397,             0.45092,             0.16737,             0.10315,            0.010093,                   0,            0.010558,           0.0085581,           0.0085581
