               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16828,            0.010307,                   0,          0.00015686,            0.019048,          7.9985e-05,          9.9805e-06,             0.16869,           0.0070172,                   0,                 0.1,                   0,                   0
                   1,             0.16709,            0.010864,                   0,          0.00023529,            0.028571,          0.00013261,          3.4177e-05,             0.16708,           0.0073555,                   0,              0.0991,          9.9604e-05,          9.9604e-05
                   2,             0.16599,             0.01007,                   0,          0.00019608,             0.02381,          0.00010617,          2.9358e-05,             0.16643,           0.0073679,                   0,            0.098198,          0.00019842,          0.00019842
                   3,             0.16586,            0.011673,                   0,          0.00027451,            0.033333,          0.00014434,          3.4974e-05,             0.16543,            0.007422,                   0,            0.097296,          0.00029644,          0.00029644
                   4,             0.16465,            0.011924,                   0,          0.00027451,            0.033333,          0.00014433,           3.891e-05,             0.16408,           0.0075208,                   0,            0.096394,          0.00039366,          0.00039366
                   5,             0.16375,            0.011915,                   0,          0.00023529,            0.028571,           0.0001237,          3.0838e-05,             0.16262,           0.0075656,                   0,             0.09549,           0.0004901,           0.0004901
                   6,             0.16283,              0.0126,                   0,          0.00023529,            0.028571,          0.00012349,          2.4697e-05,              0.1607,           0.0076815,                   0,            0.094586,          0.00058574,          0.00058574
                   7,             0.15951,            0.011859,                   0,          0.00023529,            0.028571,          0.00012328,          1.8395e-05,             0.15889,           0.0077773,                   0,            0.093681,           0.0006806,           0.0006806
                   8,             0.15814,            0.014069,                   0,          0.00011765,            0.014286,          6.3297e-05,          1.2311e-05,             0.15719,           0.0078314,                   0,            0.092775,          0.00077466,          0.00077466
                   9,             0.15535,            0.013774,                   0,          0.00011765,            0.014286,          7.1706e-05,          1.3205e-05,             0.15517,           0.0079781,                   0,            0.091868,          0.00086792,          0.00086792
                  10,             0.15206,            0.014462,                   0,          0.00015686,            0.019048,          9.6978e-05,           1.366e-05,              0.1532,           0.0081604,                   0,             0.09096,           0.0009604,           0.0009604
                  11,             0.15111,            0.016239,                   0,          0.00023529,            0.028571,          0.00013875,          1.3875e-05,             0.15144,           0.0083026,                   0,            0.090052,           0.0010521,           0.0010521
                  12,             0.14928,            0.014096,                   0,          0.00019608,             0.02381,          0.00010729,          1.0729e-05,              0.1496,           0.0084324,                   0,            0.089143,            0.001143,            0.001143
                  13,             0.14824,            0.016138,                   0,          0.00019608,             0.02381,          0.00010171,          2.0106e-05,             0.14785,           0.0085683,                   0,            0.088233,           0.0012331,           0.0012331
                  14,             0.14727,            0.015306,                   0,          0.00015686,            0.019048,          8.0222e-05,          2.0023e-05,             0.14652,           0.0086564,                   0,            0.087322,           0.0013224,           0.0013224
                  15,             0.14665,            0.014501,                   0,          0.00015686,            0.019048,          8.8325e-05,          1.8741e-05,             0.14526,           0.0087413,                   0,            0.086411,           0.0014109,           0.0014109
                  16,              0.1455,             0.01633,                   0,          0.00011765,            0.014286,          6.5285e-05,            1.84e-05,             0.14418,             0.00878,                   0,            0.085499,           0.0014986,           0.0014986
                  17,             0.14425,            0.016481,                   0,          0.00019608,             0.02381,           0.0001049,          2.4326e-05,             0.14334,           0.0087491,                   0,            0.084586,           0.0015856,           0.0015856
                  18,             0.14451,            0.015705,                   0,          0.00023529,            0.028571,          0.00012516,          2.8323e-05,             0.14264,           0.0086942,                   0,            0.083672,           0.0016717,           0.0016717
                  19,             0.14376,            0.015193,                   0,          0.00035294,            0.042857,          0.00018737,          3.8532e-05,             0.14207,           0.0086417,                   0,            0.082757,            0.001757,            0.001757
                  20,              0.1436,            0.016239,                   0,          0.00035294,            0.042857,          0.00018645,          4.8988e-05,             0.14159,           0.0085706,                   0,            0.081842,           0.0018416,           0.0018416
                  21,             0.14306,            0.016059,                   0,          0.00031373,            0.038095,          0.00016479,           4.471e-05,              0.1411,           0.0085413,                   0,            0.080925,           0.0019254,           0.0019254
                  22,             0.14176,              0.0161,                   0,          0.00035294,            0.042857,          0.00018538,          5.2811e-05,             0.14072,           0.0084926,                   0,            0.080008,           0.0020083,           0.0020083
                  23,             0.14111,            0.015407,                   0,          0.00047059,            0.057143,          0.00024935,          7.1652e-05,             0.14035,           0.0084246,                   0,            0.079091,           0.0020905,           0.0020905
                  24,             0.14196,            0.018034,                   0,          0.00070588,            0.085714,          0.00038334,          0.00011921,             0.13995,           0.0083736,                   0,            0.078172,           0.0021719,           0.0021719
                  25,             0.14104,            0.015457,                   0,          0.00070588,            0.085714,          0.00039221,          0.00011072,             0.13957,           0.0083312,                   0,            0.077253,           0.0022525,           0.0022525
                  26,             0.14178,            0.017086,                   0,          0.00090196,             0.10952,           0.0005558,          0.00015697,             0.13912,           0.0083149,                   0,            0.076332,           0.0023323,           0.0023323
                  27,              0.1406,            0.017178,                   0,           0.0012549,             0.15238,          0.00097186,          0.00024244,             0.13873,           0.0082902,                   0,            0.075411,           0.0024113,           0.0024113
                  28,             0.14095,            0.016585,                   0,           0.0013725,             0.16667,           0.0021809,          0.00046789,             0.13833,           0.0082454,                   0,             0.07449,           0.0024895,           0.0024895
                  29,             0.14059,            0.016054,                   0,           0.0047218,            0.090476,           0.0054319,           0.0010402,             0.13797,           0.0082122,                   0,            0.073567,            0.002567,            0.002567
                  30,             0.14165,            0.016635,                   0,            0.049114,            0.038095,            0.011898,           0.0022004,             0.13756,           0.0081666,                   0,            0.072644,           0.0026436,           0.0026436
                  31,             0.14141,            0.015937,                   0,             0.11337,            0.019048,            0.018667,           0.0031255,             0.13716,           0.0081218,                   0,            0.071719,           0.0027194,           0.0027194
                  32,             0.14113,            0.014671,                   0,            0.098691,            0.028571,            0.020771,           0.0037045,             0.13675,           0.0081017,                   0,            0.070794,           0.0027945,           0.0027945
                  33,             0.13999,            0.016968,                   0,              0.1036,            0.066667,            0.030606,           0.0045528,             0.13633,            0.008094,                   0,            0.069869,           0.0028688,           0.0028688
                  34,               0.139,            0.017305,                   0,            0.082859,             0.10476,            0.025439,           0.0043682,              0.1359,           0.0081133,                   0,            0.068942,           0.0029422,           0.0029422
                  35,             0.13994,            0.017272,                   0,            0.083916,             0.10952,            0.021204,           0.0040492,             0.13547,           0.0081628,                   0,            0.068015,           0.0030149,           0.0030149
                  36,             0.13826,            0.014213,                   0,            0.095014,             0.11429,            0.019525,           0.0039273,             0.13501,           0.0082964,                   0,            0.067087,           0.0030868,           0.0030868
                  37,             0.13851,            0.015946,                   0,            0.097004,             0.10952,             0.02058,           0.0039996,             0.13459,           0.0084864,                   0,            0.066158,           0.0031579,           0.0031579
                  38,             0.13957,            0.015069,                   0,             0.10716,             0.11905,             0.02506,           0.0045641,             0.13412,           0.0086734,                   0,            0.065228,           0.0032282,           0.0032282
                  39,             0.13746,            0.016631,                   0,             0.10778,             0.11429,            0.035709,           0.0065836,              0.1336,            0.009109,                   0,            0.064298,           0.0032977,           0.0032977
                  40,             0.13699,            0.016787,                   0,             0.11194,             0.11429,             0.03328,           0.0074355,             0.13319,           0.0095849,                   0,            0.063366,           0.0033664,           0.0033664
                  41,              0.1378,            0.017028,                   0,             0.12551,             0.15714,            0.044036,           0.0082907,             0.13256,            0.009788,                   0,            0.062434,           0.0034343,           0.0034343
                  42,             0.13423,            0.015855,                   0,             0.15974,             0.11905,            0.044122,           0.0086915,             0.13211,           0.0096668,                   0,            0.061501,           0.0035015,           0.0035015
                  43,             0.13649,            0.017387,                   0,               0.162,             0.11429,            0.049332,           0.0087276,             0.13173,           0.0094767,                   0,            0.060568,           0.0035678,           0.0035678
                  44,             0.13558,            0.017991,                   0,             0.16626,             0.14286,            0.050347,            0.010375,             0.13107,           0.0092118,                   0,            0.059633,           0.0036333,           0.0036333
                  45,             0.13467,            0.016614,                   0,             0.16613,             0.14286,            0.048331,            0.012285,             0.13006,           0.0088711,                   0,            0.058698,           0.0036981,           0.0036981
                  46,             0.13459,            0.017312,                   0,              0.1627,             0.13333,            0.053608,             0.01169,             0.12919,           0.0089267,                   0,            0.057762,           0.0037621,           0.0037621
                  47,             0.13252,            0.016337,                   0,             0.15033,             0.18571,            0.076131,            0.016936,             0.12864,           0.0089731,                   0,            0.056825,           0.0038252,           0.0038252
                  48,             0.13374,            0.017252,                   0,             0.12909,             0.17575,            0.051897,            0.012361,             0.12879,           0.0095934,                   0,            0.055888,           0.0038876,           0.0038876
                  49,             0.13183,            0.016695,                   0,             0.14616,             0.20476,            0.065578,            0.014417,             0.12854,            0.010204,                   0,            0.054949,           0.0039492,           0.0039492
                  50,             0.13358,            0.018865,                   0,            0.065654,             0.29048,            0.031211,           0.0072056,             0.12884,            0.011725,                   0,             0.05401,             0.00401,             0.00401
                  51,             0.13035,            0.016378,                   0,             0.08632,             0.28095,            0.049091,            0.011863,             0.12678,            0.011629,                   0,             0.05307,             0.00407,             0.00407
                  52,             0.13035,            0.018754,                   0,            0.062553,             0.19048,            0.026901,           0.0059999,             0.12978,            0.013209,                   0,            0.052129,           0.0041292,           0.0041292
                  53,             0.12874,            0.018653,                   0,              0.1227,             0.19524,            0.068195,            0.017123,             0.12727,            0.012506,                   0,            0.051188,           0.0041876,           0.0041876
                  54,             0.13136,            0.018468,                   0,            0.066315,             0.26667,            0.034358,           0.0078473,             0.12796,            0.012824,                   0,            0.050245,           0.0042453,           0.0042453
                  55,             0.12667,             0.01806,                   0,             0.10142,             0.28095,            0.063245,            0.015604,             0.12504,            0.012013,                   0,            0.049302,           0.0043021,           0.0043021
                  56,             0.12717,            0.018707,                   0,            0.086904,             0.15714,             0.05096,             0.01069,              0.1264,            0.013075,                   0,            0.048358,           0.0043581,           0.0043581
                  57,             0.12688,            0.018362,                   0,             0.11027,             0.23333,            0.068955,            0.018847,             0.12426,             0.01253,                   0,            0.047413,           0.0044134,           0.0044134
                  58,             0.12744,              0.0184,                   0,             0.12662,             0.25238,            0.071201,            0.016243,             0.12634,            0.013725,                   0,            0.046468,           0.0044679,           0.0044679
                  59,             0.12461,            0.020502,                   0,             0.14069,             0.28571,            0.088049,            0.025753,             0.12389,            0.013752,                   0,            0.045522,           0.0045215,           0.0045215
                  60,             0.12621,             0.01847,                   0,             0.10437,             0.27143,            0.049947,            0.010877,             0.12866,            0.014391,                   0,            0.044574,           0.0045744,           0.0045744
