               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094911,           0.0097674,                   0,          3.9216e-05,           0.0047619,           1.974e-05,           3.948e-06,             0.09441,           0.0075131,                   0,                 0.1,                   0,                   0
                   1,             0.14261,            0.010016,                   0,          3.9216e-05,           0.0047619,          1.9734e-05,          1.9734e-06,            0.094155,           0.0076398,                   0,            0.099099,           9.934e-05,           9.934e-05
                   2,             0.13886,           0.0093137,                   0,                   0,                   0,                   0,                   0,            0.094246,           0.0075672,                   0,            0.098197,          0.00019736,          0.00019736
                   3,                0.14,             0.01003,                   0,                   0,                   0,                   0,                   0,            0.094379,           0.0074946,                   0,            0.097294,          0.00029406,          0.00029406
                   4,             0.13928,            0.010329,                   0,                   0,                   0,                   0,                   0,            0.094382,           0.0074606,                   0,            0.096389,          0.00038944,          0.00038944
                   5,            0.095538,           0.0093634,                   0,                   0,                   0,                   0,                   0,            0.094121,           0.0074328,                   0,            0.095483,           0.0004835,           0.0004835
                   6,            0.095031,            0.010072,                   0,                   0,                   0,                   0,                   0,            0.093529,           0.0074482,                   0,            0.094576,          0.00057624,          0.00057624
                   7,             0.13707,           0.0094562,                   0,          3.9216e-05,           0.0047619,          1.9701e-05,          3.9401e-06,            0.093112,           0.0074343,                   0,            0.093668,          0.00066766,          0.00066766
                   8,             0.14233,           0.0094657,                   0,          3.9216e-05,           0.0047619,          1.9701e-05,          1.9701e-06,            0.092678,           0.0074065,                   0,            0.092758,          0.00075776,          0.00075776
                   9,             0.14012,            0.010916,                   0,                   0,                   0,                   0,                   0,             0.09213,           0.0074158,                   0,            0.091847,          0.00084654,          0.00084654
                  10,             0.13221,            0.010886,                   0,          3.9216e-05,           0.0047619,          1.9701e-05,          1.9701e-06,            0.092156,           0.0073787,                   0,            0.090934,            0.000934,            0.000934
                  11,             0.13169,            0.010506,                   0,          3.9216e-05,           0.0047619,          1.9701e-05,          3.9402e-06,            0.091833,           0.0073586,                   0,             0.09002,           0.0010201,           0.0010201
                  12,             0.09107,             0.01075,                   0,                   0,                   0,                   0,                   0,            0.091226,            0.007269,                   0,            0.089105,            0.001105,            0.001105
                  13,            0.091262,            0.011039,                   0,                   0,                   0,                   0,                   0,            0.090505,           0.0072149,                   0,            0.088188,           0.0011885,           0.0011885
                  14,            0.089838,            0.011338,                   0,                   0,                   0,                   0,                   0,            0.089779,            0.007167,                   0,            0.087271,           0.0012706,           0.0012706
                  15,             0.12294,            0.012023,                   0,                   0,                   0,                   0,                   0,            0.089316,           0.0071902,                   0,            0.086351,           0.0013515,           0.0013515
                  16,             0.13192,            0.010993,                   0,          3.9216e-05,           0.0047619,          1.9747e-05,          3.9494e-06,            0.088998,           0.0071323,                   0,            0.085431,            0.001431,            0.001431
                  17,             0.12782,            0.010909,                   0,          7.8431e-05,           0.0095238,          3.9671e-05,          1.3864e-05,            0.088819,           0.0070403,                   0,            0.084509,           0.0015093,           0.0015093
                  18,             0.13655,            0.011343,                   0,          3.9216e-05,           0.0047619,           1.979e-05,          1.1874e-05,            0.088592,           0.0069569,                   0,            0.083586,           0.0015862,           0.0015862
                  19,            0.087441,            0.011553,                   0,          3.9216e-05,           0.0047619,          1.9821e-05,          1.1893e-05,            0.087925,           0.0069531,                   0,            0.082662,           0.0016617,           0.0016617
                  20,             0.13295,            0.011593,                   0,          7.8431e-05,           0.0095238,          3.9762e-05,          1.1906e-05,              0.0875,           0.0069507,                   0,            0.081736,            0.001736,            0.001736
                  21,             0.13077,            0.011479,                   0,          0.00015686,            0.019048,          8.0625e-05,          1.4012e-05,            0.087011,           0.0069592,                   0,            0.080809,           0.0018089,           0.0018089
                  22,            0.086095,            0.011984,                   0,          0.00019608,             0.02381,          0.00010122,          2.0134e-05,            0.086452,           0.0068696,                   0,            0.079881,           0.0018806,           0.0018806
                  23,            0.087436,            0.011253,                   0,          0.00023529,            0.028571,          0.00012218,          3.0329e-05,            0.086021,           0.0068132,                   0,            0.078951,           0.0019509,           0.0019509
                  24,            0.085556,            0.010833,                   0,          0.00027451,            0.033333,          0.00014414,          3.6573e-05,            0.085206,            0.006821,                   0,             0.07802,           0.0020198,           0.0020198
                  25,             0.13256,            0.012244,                   0,          0.00047059,            0.057143,          0.00025368,          7.8194e-05,            0.084165,           0.0066943,                   0,            0.077088,           0.0020875,           0.0020875
                  26,             0.12487,            0.013315,                   0,          0.00054902,            0.066667,          0.00029784,          0.00010101,            0.083308,           0.0066927,                   0,            0.076154,           0.0021538,           0.0021538
                  27,            0.082869,            0.012188,                   0,          0.00062745,             0.07619,           0.0003457,          9.8292e-05,            0.083047,           0.0066642,                   0,            0.075219,           0.0022189,           0.0022189
