               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13532,            0.018121,                   0,          0.00016667,            0.010204,          8.4514e-05,             3.2e-05,             0.13306,            0.018928,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.13198,            0.017691,                   0,              0.0001,           0.0061224,          5.0938e-05,          1.7256e-05,             0.13181,            0.017387,                   0,            0.091896,          0.00089644,          0.00089644
                   2,             0.12614,            0.018384,                   0,              0.0003,            0.018367,          0.00015292,           2.877e-05,             0.12464,            0.017319,                   0,            0.087389,           0.0013889,           0.0013889
                   3,             0.11989,            0.018388,                   0,              0.0008,             0.04898,          0.00042397,           0.0001087,             0.11369,            0.017342,                   0,            0.082877,           0.0018774,           0.0018774
                   4,             0.11183,            0.017759,                   0,          0.00073333,            0.044898,          0.00038357,          7.2475e-05,             0.10714,            0.017585,                   0,            0.078362,            0.002362,            0.002362
                   5,             0.10541,            0.019582,                   0,           0.0018667,             0.11429,            0.001181,          0.00033646,             0.11103,            0.018809,                   0,            0.073843,           0.0028426,           0.0028426
                   6,             0.10227,            0.020669,                   0,            0.015543,             0.12653,           0.0095485,           0.0019173,            0.094708,            0.020748,                   0,            0.069319,           0.0033192,           0.0033192
                   7,            0.096972,            0.022935,                   0,           0.0030333,             0.18571,           0.0087027,           0.0018883,             0.10333,            0.020765,                   0,            0.064792,           0.0037919,           0.0037919
                   8,            0.090629,            0.024189,                   0,              0.1146,            0.091837,            0.038137,            0.009791,            0.094768,             0.02087,                   0,            0.060261,           0.0042606,           0.0042606
                   9,            0.084772,              0.0213,                   0,             0.11437,             0.15102,            0.053557,            0.015179,             0.10475,            0.019723,                   0,            0.055725,           0.0047254,           0.0047254
                  10,             0.08372,            0.018582,                   0,             0.24409,             0.24694,             0.14215,            0.037854,            0.098429,             0.02509,                   0,            0.051186,           0.0051862,           0.0051862
                  11,            0.080073,            0.017092,                   0,             0.28487,             0.22449,             0.15182,            0.033656,            0.089875,            0.026405,                   0,            0.046643,            0.005643,            0.005643
                  12,            0.077981,             0.01621,                   0,             0.35949,             0.28367,             0.23013,            0.066742,            0.099442,            0.018321,                   0,            0.042096,           0.0060959,           0.0060959
                  13,            0.077752,            0.015018,                   0,             0.19213,             0.28571,             0.10373,            0.023517,            0.077499,            0.019874,                   0,            0.037545,           0.0065448,           0.0065448
                  14,            0.074668,            0.015875,                   0,             0.17366,             0.22857,            0.092442,            0.019546,            0.084346,            0.019574,                   0,             0.03299,           0.0069897,           0.0069897
                  15,            0.072217,            0.015804,                   0,             0.29022,             0.30876,             0.18711,            0.054554,            0.075507,            0.018816,                   0,            0.028431,           0.0074307,           0.0074307
                  16,            0.069518,            0.015423,                   0,             0.35246,             0.33265,             0.24362,            0.080571,            0.074804,            0.019582,                   0,            0.023868,           0.0078678,           0.0078678
                  17,            0.070979,            0.016269,                   0,             0.40413,             0.31837,             0.24323,            0.074955,            0.071479,            0.018562,                   0,            0.019301,           0.0083009,           0.0083009
                  18,            0.067178,            0.016123,                   0,             0.39498,             0.33265,             0.25624,            0.085307,            0.086839,             0.01696,                   0,             0.01473,             0.00873,             0.00873
                  19,            0.067419,            0.015343,                   0,             0.49762,             0.35306,             0.33804,             0.11359,            0.074017,            0.017272,                   0,            0.010155,           0.0091551,           0.0091551
                  20,            0.067416,            0.014639,                   0,             0.38972,             0.33673,             0.25082,             0.09277,            0.074878,            0.018132,                   0,            0.009208,            0.009208,            0.009208
                  21,            0.065136,            0.013471,                   0,             0.54373,             0.37551,             0.37288,             0.13699,            0.079147,            0.018527,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.069411,            0.013538,                   0,             0.51114,             0.35714,              0.3532,             0.12588,            0.074312,             0.02263,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,              0.0646,            0.015077,                   0,             0.40615,             0.40816,             0.34305,              0.1265,            0.072752,            0.027039,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.064051,            0.013317,                   0,             0.49865,             0.37347,             0.39465,               0.162,            0.073079,            0.018693,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.065653,            0.013857,                   0,             0.50962,             0.42653,             0.43399,             0.17204,            0.072582,            0.020586,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,            0.061807,            0.011809,                   0,             0.62456,             0.46327,             0.50308,             0.19936,            0.073852,            0.017379,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.064301,            0.012269,                   0,             0.63575,             0.40612,             0.44628,             0.16172,            0.076282,            0.016072,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.060446,            0.012832,                   0,             0.61111,             0.38776,             0.43628,             0.18356,             0.07412,            0.017006,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.061639,            0.012194,                   0,             0.62223,             0.36735,             0.42129,             0.17038,             0.08199,            0.016487,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.060345,            0.012389,                   0,             0.52071,             0.45306,             0.46575,             0.19968,            0.072168,            0.015859,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.059079,            0.012559,                   0,             0.66927,             0.44694,             0.51876,             0.20606,            0.072834,            0.015173,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.059329,             0.01193,                   0,             0.65383,             0.40612,             0.46806,             0.18419,            0.072702,            0.016271,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,             0.05911,            0.012189,                   0,             0.57605,              0.4936,             0.50615,             0.20567,            0.067115,            0.016923,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,            0.056212,            0.011146,                   0,             0.67182,             0.48163,             0.53677,             0.19659,            0.067955,            0.016299,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.057892,            0.011721,                   0,             0.67369,             0.48571,             0.54952,             0.23739,             0.06182,            0.015559,                   0,           0.0086536,           0.0086536,           0.0086536
                  36,            0.053624,            0.011809,                   0,             0.57214,             0.53061,             0.55665,              0.2341,            0.057697,            0.015167,                   0,            0.008614,            0.008614,            0.008614
                  37,             0.05276,            0.011244,                   0,             0.62103,             0.50816,              0.5444,             0.23614,            0.064624,            0.015483,                   0,           0.0085744,           0.0085744,           0.0085744
                  38,            0.054263,            0.011426,                   0,              0.6897,             0.46531,              0.5422,             0.24133,              0.0585,            0.015275,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.049147,            0.010383,                   0,             0.62928,             0.49184,              0.5082,             0.21462,            0.057364,            0.015353,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.053617,            0.010869,                   0,             0.69279,             0.47864,              0.5092,             0.21747,            0.058856,            0.015814,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.054759,            0.010938,                   0,             0.69831,             0.44875,             0.51192,             0.21836,            0.058958,            0.015807,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.053052,            0.011652,                   0,             0.66123,             0.44614,              0.4923,             0.20087,            0.062726,            0.015418,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.053686,            0.011033,                   0,             0.78177,             0.40941,             0.49587,             0.21449,            0.060759,            0.016941,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.050822,            0.011256,                   0,             0.73625,             0.43469,             0.50154,             0.21172,            0.060512,            0.015489,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.053897,            0.011449,                   0,              0.7177,              0.4981,             0.55809,              0.2433,            0.059429,              0.0151,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.051076,            0.010831,                   0,             0.67572,             0.51455,             0.57274,             0.26195,            0.057701,             0.01449,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.055362,            0.011024,                   0,             0.71361,             0.52857,             0.59717,               0.266,            0.056515,            0.014279,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,            0.049104,            0.010385,                   0,             0.68385,             0.53878,             0.58724,             0.25834,              0.0578,            0.014228,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.049027,            0.011107,                   0,             0.65629,             0.54555,             0.58112,             0.25823,            0.055142,            0.014596,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.044976,            0.010938,                   0,             0.66396,             0.50816,             0.55663,             0.24915,            0.059593,            0.014294,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,             0.04804,           0.0097566,                   0,             0.74005,              0.5171,             0.59318,             0.27042,            0.055686,            0.014178,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.049679,            0.011468,                   0,             0.74111,             0.54898,             0.61112,             0.28765,            0.053584,            0.014015,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,            0.047095,            0.010524,                   0,             0.70557,             0.54082,             0.59646,             0.26573,            0.053929,            0.014452,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,            0.047302,            0.010195,                   0,             0.72911,             0.52245,             0.58711,              0.2584,            0.057682,            0.014386,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,            0.050156,           0.0098595,                   0,             0.72019,             0.52002,             0.56741,              0.2544,            0.062567,            0.014542,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.047721,            0.010738,                   0,             0.74787,             0.54082,             0.60966,             0.26888,            0.054169,            0.013941,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.044845,            0.010095,                   0,             0.73177,             0.52245,             0.59842,             0.26807,            0.053155,            0.013719,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,            0.046613,           0.0097938,                   0,             0.71739,             0.53265,             0.59872,             0.26927,             0.05886,            0.014161,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,            0.047948,            0.010067,                   0,             0.75554,             0.53469,             0.61569,             0.28501,            0.055289,            0.013652,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,            0.045171,           0.0099521,                   0,             0.77824,             0.51633,             0.60229,             0.27822,            0.058728,            0.014194,                   0,           0.0076636,           0.0076636,           0.0076636
                  61,             0.04545,            0.010806,                   0,             0.75097,             0.52311,             0.61072,             0.27477,            0.056643,            0.013969,                   0,            0.007624,            0.007624,            0.007624
                  62,            0.047161,            0.010781,                   0,             0.71534,              0.5102,             0.59603,             0.27738,            0.056788,            0.014098,                   0,           0.0075844,           0.0075844,           0.0075844
                  63,            0.047408,            0.010389,                   0,              0.7261,             0.51837,             0.60624,             0.27497,            0.056095,            0.013933,                   0,           0.0075448,           0.0075448,           0.0075448
                  64,            0.048021,            0.010963,                   0,             0.71028,             0.52857,             0.58801,             0.27518,              0.0531,            0.014717,                   0,           0.0075052,           0.0075052,           0.0075052
                  65,            0.042222,           0.0095615,                   0,             0.71947,             0.47105,             0.55439,             0.24861,            0.058155,            0.016478,                   0,           0.0074656,           0.0074656,           0.0074656
                  66,            0.045568,            0.010165,                   0,             0.66683,             0.49015,             0.53607,             0.24659,            0.058454,            0.017133,                   0,            0.007426,            0.007426,            0.007426
                  67,            0.048146,            0.010738,                   0,             0.69753,             0.47143,             0.53019,             0.23443,            0.061212,            0.016345,                   0,           0.0073864,           0.0073864,           0.0073864
                  68,            0.046788,           0.0099043,                   0,             0.69312,              0.4551,              0.5226,             0.23612,             0.06199,            0.016977,                   0,           0.0073468,           0.0073468,           0.0073468
                  69,             0.04537,            0.010552,                   0,             0.73086,             0.49388,             0.57885,             0.27364,            0.054283,            0.015042,                   0,           0.0073072,           0.0073072,           0.0073072
                  70,            0.044202,           0.0095676,                   0,             0.77555,             0.45132,             0.56297,             0.26819,             0.05484,            0.015152,                   0,           0.0072676,           0.0072676,           0.0072676
                  71,            0.045142,           0.0098403,                   0,             0.66531,             0.54694,             0.58232,             0.26641,            0.054631,             0.01482,                   0,            0.007228,            0.007228,            0.007228
                  72,            0.046586,            0.010124,                   0,               0.731,              0.5102,             0.57091,             0.26386,            0.051907,            0.014657,                   0,           0.0071884,           0.0071884,           0.0071884
                  73,             0.04598,           0.0092339,                   0,             0.71977,             0.52245,             0.60614,             0.27202,            0.051547,            0.014246,                   0,           0.0071488,           0.0071488,           0.0071488
