               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13374,            0.018261,                   0,              0.0002,            0.012245,          0.00010147,          3.2084e-05,             0.13276,            0.018851,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.13247,            0.017854,                   0,              0.0001,           0.0061224,          5.0618e-05,          1.8529e-05,             0.13037,            0.017429,                   0,            0.091896,          0.00089644,          0.00089644
                   2,              0.1291,            0.018285,                   0,          0.00016667,            0.010204,          8.5453e-05,          2.1992e-05,              0.1238,            0.017655,                   0,            0.087389,           0.0013889,           0.0013889
                   3,              0.1209,            0.017977,                   0,              0.0005,            0.030612,          0.00025804,          4.9395e-05,             0.11815,            0.017945,                   0,            0.082877,           0.0018774,           0.0018774
                   4,             0.11401,            0.017452,                   0,          0.00066667,            0.040816,          0.00034722,            9.62e-05,             0.10632,            0.018501,                   0,            0.078362,            0.002362,            0.002362
                   5,             0.10877,            0.018759,                   0,           0.0011667,            0.071429,          0.00063116,          0.00013687,             0.11786,            0.019645,                   0,            0.073843,           0.0028426,           0.0028426
                   6,             0.10627,            0.019508,                   0,           0.0034333,              0.2102,           0.0038347,          0.00094868,            0.095571,            0.020569,                   0,            0.069319,           0.0033192,           0.0033192
                   7,            0.097745,            0.022028,                   0,            0.047724,              0.1449,            0.014864,           0.0040114,             0.10037,            0.021668,                   0,            0.064792,           0.0037919,           0.0037919
                   8,             0.09201,            0.023249,                   0,             0.10404,             0.16939,            0.041365,            0.010206,            0.086096,            0.021801,                   0,            0.060261,           0.0042606,           0.0042606
                   9,            0.085139,            0.021456,                   0,            0.056837,             0.18571,            0.023464,           0.0063013,            0.091928,            0.019897,                   0,            0.055725,           0.0047254,           0.0047254
                  10,            0.083564,            0.019566,                   0,              0.2389,             0.26585,             0.13855,            0.034457,            0.092912,             0.02037,                   0,            0.051186,           0.0051862,           0.0051862
                  11,            0.080344,            0.017367,                   0,             0.35718,             0.28571,             0.22019,            0.071675,            0.093203,            0.033677,                   0,            0.046643,            0.005643,            0.005643
                  12,            0.079974,            0.016936,                   0,             0.33103,             0.31837,             0.24646,            0.071755,            0.080478,            0.034853,                   0,            0.042096,           0.0060959,           0.0060959
