               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13638,            0.017951,                   0,          4.2463e-05,           0.0035088,          2.1647e-05,          2.1647e-06,             0.13211,            0.017793,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.13505,            0.017879,                   0,          2.1231e-05,           0.0017544,          1.0649e-05,          1.0649e-06,             0.13159,            0.017342,                   0,            0.095498,          0.00049802,          0.00049802
                   2,             0.13412,            0.017912,                   0,          2.1231e-05,           0.0017544,           1.067e-05,           1.067e-06,             0.12958,            0.017568,                   0,            0.092794,          0.00079366,          0.00079366
                   3,             0.12871,            0.018567,                   0,          0.00010616,           0.0087719,          5.3711e-05,          1.3163e-05,             0.12441,            0.017458,                   0,            0.090087,           0.0010869,           0.0010869
                   4,             0.12097,            0.018721,                   0,          8.4926e-05,           0.0070175,          4.2846e-05,          5.3737e-06,             0.11677,            0.017655,                   0,            0.087378,           0.0013778,           0.0013778
                   5,             0.11908,            0.018692,                   0,           0.0004034,            0.033333,          0.00020869,          5.0174e-05,             0.11703,            0.017503,                   0,            0.084666,           0.0016663,           0.0016663
                   6,             0.11385,            0.019138,                   0,           0.0003397,             0.02807,          0.00017503,          4.1231e-05,             0.11773,            0.017835,                   0,            0.081952,           0.0019525,           0.0019525
                   7,             0.11285,            0.018782,                   0,          0.00091295,            0.075439,          0.00049325,          0.00012302,             0.10636,            0.018251,                   0,            0.079236,           0.0022362,           0.0022362
                   8,             0.10062,            0.020609,                   0,          0.00093418,            0.077193,          0.00050927,          0.00012164,             0.10495,            0.019067,                   0,            0.076518,           0.0025176,           0.0025176
                   9,             0.10636,            0.020135,                   0,            0.002017,             0.16667,           0.0012486,          0.00031191,            0.093329,            0.019959,                   0,            0.073797,           0.0027966,           0.0027966
                  10,            0.099641,            0.021421,                   0,           0.0034395,             0.28421,           0.0045582,            0.001208,            0.096549,            0.020159,                   0,            0.071073,           0.0030733,           0.0030733
                  11,            0.098388,            0.021348,                   0,           0.0050462,             0.41404,             0.02833,           0.0070724,            0.098595,            0.020739,                   0,            0.068348,           0.0033475,           0.0033475
                  12,            0.095536,            0.022554,                   0,            0.082796,             0.19649,            0.036537,           0.0080825,            0.087825,            0.021023,                   0,            0.065619,           0.0036194,           0.0036194
                  13,            0.087208,            0.022627,                   0,             0.19928,             0.11579,            0.065169,            0.012286,            0.089082,            0.020503,                   0,            0.062889,           0.0038889,           0.0038889
                  14,            0.080553,            0.024942,                   0,            0.006501,             0.53158,            0.020205,           0.0054763,             0.10018,            0.017595,                   0,            0.060156,           0.0041561,           0.0041561
                  15,            0.087689,            0.022018,                   0,             0.23358,             0.29825,             0.14165,            0.034975,            0.082764,            0.018621,                   0,            0.057421,           0.0044208,           0.0044208
