               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12986,            0.009525,                   0,          8.4926e-05,           0.0070175,          4.3028e-05,          4.3028e-06,             0.13955,           0.0095138,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11152,           0.0093415,                   0,          6.3694e-05,           0.0052632,          3.2155e-05,          6.4309e-06,             0.13517,            0.009656,                   0,            0.091896,          0.00089644,          0.00089644
                   2,             0.10804,            0.010297,                   0,          0.00010616,           0.0087719,          5.3598e-05,          6.4258e-06,             0.12899,           0.0096791,                   0,            0.087389,           0.0013889,           0.0013889
                   3,             0.10385,            0.010557,                   0,           0.0004034,            0.033333,          0.00020852,          5.1225e-05,             0.12805,           0.0092512,                   0,            0.082877,           0.0018774,           0.0018774
                   4,            0.098541,            0.010351,                   0,          0.00078556,            0.064912,          0.00042071,          9.5793e-05,             0.11804,            0.010441,                   0,            0.078362,            0.002362,            0.002362
                   5,            0.086033,            0.011855,                   0,           0.0019745,             0.16316,           0.0015015,          0.00040047,             0.11535,             0.01227,                   0,            0.073843,           0.0028426,           0.0028426
                   6,            0.082184,            0.012549,                   0,           0.0031635,              0.2614,           0.0057546,           0.0014077,             0.10516,            0.013556,                   0,            0.069319,           0.0033192,           0.0033192
                   7,            0.084315,            0.014242,                   0,            0.013449,             0.37368,            0.030906,           0.0061253,             0.10131,            0.013611,                   0,            0.064792,           0.0037919,           0.0037919
                   8,            0.085178,            0.014567,                   0,             0.29549,             0.20877,             0.13772,            0.033043,             0.11957,             0.01109,                   0,            0.060261,           0.0042606,           0.0042606
                   9,            0.079197,            0.012784,                   0,              0.3473,             0.31086,             0.26007,            0.073069,             0.10314,            0.010917,                   0,            0.055725,           0.0047254,           0.0047254
                  10,            0.083102,            0.011436,                   0,            0.087734,             0.19123,            0.035579,           0.0064441,             0.10678,            0.012833,                   0,            0.051186,           0.0051862,           0.0051862
                  11,            0.069675,            0.010539,                   0,             0.37318,             0.37719,             0.27987,            0.089679,            0.096017,            0.012563,                   0,            0.046643,            0.005643,            0.005643
                  12,            0.086903,            0.010421,                   0,             0.45943,             0.38772,             0.35115,             0.12087,             0.10957,            0.010555,                   0,            0.042096,           0.0060959,           0.0060959
                  13,             0.08133,           0.0097825,                   0,             0.51339,             0.39825,             0.35883,             0.11625,             0.10549,           0.0093929,                   0,            0.037545,           0.0065448,           0.0065448
                  14,            0.087357,            0.010517,                   0,             0.50541,             0.42456,             0.42671,             0.15923,            0.097943,           0.0095644,                   0,             0.03299,           0.0069897,           0.0069897
                  15,            0.078591,            0.010378,                   0,              0.3467,             0.39123,             0.28067,            0.071866,             0.10649,           0.0096505,                   0,            0.028431,           0.0074307,           0.0074307
                  16,            0.070341,            0.010317,                   0,             0.42825,             0.48752,             0.38607,             0.13677,             0.10094,            0.011215,                   0,            0.023868,           0.0078678,           0.0078678
                  17,            0.072864,            0.010562,                   0,             0.38502,             0.40877,             0.32297,             0.11739,              0.1023,           0.0097376,                   0,            0.019301,           0.0083009,           0.0083009
                  18,             0.07548,            0.010511,                   0,             0.39112,             0.42632,             0.32649,             0.12389,             0.10771,           0.0092743,                   0,             0.01473,             0.00873,             0.00873
                  19,            0.061348,            0.010647,                   0,             0.51825,             0.46491,             0.41238,             0.14877,            0.099396,           0.0092304,                   0,            0.010155,           0.0091551,           0.0091551
                  20,            0.080153,            0.010621,                   0,               0.485,             0.49298,             0.41185,             0.14733,            0.099865,           0.0093185,                   0,            0.009208,            0.009208,            0.009208
                  21,            0.052507,           0.0097073,                   0,              0.2996,             0.37895,             0.20783,            0.052909,             0.11045,            0.011194,                   0,            0.009208,            0.009208,            0.009208
                  22,             0.07937,             0.01047,                   0,             0.35457,             0.50351,             0.30943,            0.098638,            0.092666,            0.016287,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.048699,            0.011494,                   0,              0.6176,             0.56952,             0.55566,             0.19052,             0.10144,            0.017492,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.069876,            0.010439,                   0,             0.52139,             0.59123,             0.51269,             0.17782,            0.086044,            0.019749,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,             0.05603,            0.010519,                   0,             0.44232,             0.50351,             0.39977,             0.12537,             0.11072,            0.012937,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,            0.066805,           0.0088712,                   0,             0.66453,             0.57018,             0.59369,             0.22089,              0.0843,             0.01135,                   0,             0.00901,             0.00901,             0.00901
                  27,             0.07657,           0.0094033,                   0,             0.70601,             0.60175,             0.62821,             0.24074,            0.088676,            0.011557,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.054303,           0.0093581,                   0,              0.7362,             0.62456,             0.66767,             0.26902,            0.088292,            0.012436,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.054669,           0.0092037,                   0,             0.48924,             0.56967,             0.46437,             0.17781,            0.092397,           0.0094161,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.053756,             0.00904,                   0,             0.63932,             0.61261,             0.60794,             0.22174,            0.090101,           0.0081021,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.052613,           0.0091225,                   0,             0.77998,             0.64035,             0.70262,             0.31392,             0.09698,            0.008028,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.058948,           0.0090357,                   0,             0.74769,             0.61579,             0.63441,             0.28868,            0.085613,           0.0081653,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.052386,           0.0092688,                   0,              0.8143,             0.66931,             0.73677,             0.36264,            0.081178,           0.0094665,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,             0.05035,           0.0084345,                   0,             0.77753,             0.64561,             0.72282,             0.33045,            0.081946,            0.010492,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.075291,           0.0087843,                   0,             0.78912,             0.65088,             0.72912,             0.32604,            0.082534,            0.008846,                   0,           0.0086536,           0.0086536,           0.0086536
                  36,            0.062993,           0.0092677,                   0,             0.84669,             0.66857,             0.75179,             0.35356,            0.080379,           0.0097994,                   0,            0.008614,            0.008614,            0.008614
                  37,            0.066044,           0.0084855,                   0,              0.8218,             0.64211,              0.7009,             0.33962,            0.076431,           0.0085741,                   0,           0.0085744,           0.0085744,           0.0085744
                  38,            0.066206,           0.0085818,                   0,             0.80615,             0.40877,             0.46631,             0.23394,            0.096325,            0.010092,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.049079,           0.0080814,                   0,             0.88928,              0.4807,             0.58583,             0.29084,            0.092297,           0.0090756,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.051118,           0.0080716,                   0,             0.86692,             0.51579,             0.61338,             0.31904,            0.091758,           0.0089385,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.054438,           0.0081475,                   0,              0.7823,             0.52807,             0.61714,             0.31446,            0.086524,           0.0088777,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.049377,           0.0087663,                   0,             0.88421,             0.59123,             0.69613,             0.35164,            0.088391,            0.007567,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.057482,           0.0082055,                   0,             0.84179,             0.68772,             0.75347,             0.33862,            0.084978,           0.0073851,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.057227,           0.0084728,                   0,             0.84862,              0.6983,             0.76273,             0.34988,            0.078126,           0.0073482,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.070106,           0.0084829,                   0,             0.85882,             0.67193,             0.74498,             0.36535,            0.075423,           0.0072078,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.061087,           0.0080946,                   0,             0.88832,             0.66984,             0.76548,             0.38075,            0.075431,           0.0071333,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.053986,           0.0081712,                   0,              0.8666,             0.63158,             0.74296,             0.37063,            0.075281,           0.0074067,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,            0.047709,           0.0079236,                   0,              0.8258,             0.60713,             0.70634,             0.28833,            0.079443,           0.0069724,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.070816,            0.008302,                   0,             0.87675,             0.65088,              0.7457,             0.33472,            0.078357,             0.00698,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.057903,           0.0081556,                   0,             0.90633,             0.67903,             0.77211,             0.39147,            0.079346,           0.0070284,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,            0.056788,           0.0076278,                   0,             0.87679,                 0.7,             0.77957,             0.39907,            0.075255,           0.0067504,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.056881,           0.0083813,                   0,             0.82531,             0.66309,             0.76012,             0.37321,            0.077545,            0.006806,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,            0.062696,           0.0078548,                   0,              0.8538,             0.71717,             0.78679,             0.38754,            0.074314,           0.0069139,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,            0.046063,           0.0076135,                   0,             0.87744,             0.70702,             0.78692,             0.40997,            0.078708,           0.0066123,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,            0.055021,            0.007309,                   0,             0.86518,             0.68676,             0.77562,             0.41099,            0.081279,             0.00671,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.053845,            0.007966,                   0,             0.80987,             0.64737,             0.73638,             0.33608,            0.074823,           0.0068876,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.044875,           0.0076836,                   0,              0.8528,             0.68099,             0.77479,             0.37685,            0.077983,           0.0070374,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,            0.048271,           0.0073607,                   0,             0.89543,             0.68947,             0.78266,             0.40252,            0.077201,           0.0070668,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,            0.054114,           0.0074626,                   0,             0.89466,             0.68544,             0.77586,             0.35767,            0.077925,           0.0070229,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,            0.055675,           0.0071753,                   0,              0.8944,             0.72812,             0.81095,             0.42972,             0.07765,           0.0070328,                   0,           0.0076636,           0.0076636,           0.0076636
                  61,            0.046202,           0.0082051,                   0,              0.8716,              0.7503,             0.80919,             0.43402,             0.07343,           0.0069209,                   0,            0.007624,            0.007624,            0.007624
                  62,            0.062815,           0.0080805,                   0,             0.89071,             0.74351,             0.81643,             0.44498,            0.069918,           0.0069499,                   0,           0.0075844,           0.0075844,           0.0075844
                  63,            0.063529,           0.0076468,                   0,             0.85331,              0.7552,             0.81125,             0.44329,            0.075413,           0.0065834,                   0,           0.0075448,           0.0075448,           0.0075448
                  64,            0.060082,            0.008156,                   0,             0.88148,             0.73509,             0.80387,             0.41715,            0.077341,           0.0071481,                   0,           0.0075052,           0.0075052,           0.0075052
                  65,            0.058241,           0.0070201,                   0,              0.9186,             0.71053,             0.81344,             0.43731,            0.075426,           0.0065146,                   0,           0.0074656,           0.0074656,           0.0074656
                  66,            0.044345,           0.0076005,                   0,             0.90512,             0.73639,             0.81115,             0.44163,            0.068516,           0.0063481,                   0,            0.007426,            0.007426,            0.007426
                  67,            0.053208,           0.0076318,                   0,             0.91512,             0.72632,             0.81211,             0.45198,            0.074832,           0.0061197,                   0,           0.0073864,           0.0073864,           0.0073864
                  68,            0.046725,           0.0071243,                   0,             0.87183,             0.69298,              0.7991,             0.38244,            0.082753,           0.0062762,                   0,           0.0073468,           0.0073468,           0.0073468
                  69,             0.04765,           0.0073998,                   0,             0.91334,             0.72456,             0.82433,             0.44848,            0.078343,           0.0062904,                   0,           0.0073072,           0.0073072,           0.0073072
                  70,            0.044074,           0.0070427,                   0,             0.89024,             0.71146,              0.8021,             0.40109,            0.077031,           0.0063968,                   0,           0.0072676,           0.0072676,           0.0072676
                  71,            0.052546,           0.0071625,                   0,             0.86989,             0.74737,              0.8231,             0.43834,            0.071646,            0.006288,                   0,            0.007228,            0.007228,            0.007228
                  72,            0.056319,           0.0075113,                   0,             0.87421,             0.70877,             0.78795,             0.43529,            0.073219,           0.0069063,                   0,           0.0071884,           0.0071884,           0.0071884
                  73,            0.056524,           0.0071722,                   0,             0.87169,             0.72807,             0.80717,             0.42384,            0.074741,           0.0073039,                   0,           0.0071488,           0.0071488,           0.0071488
                  74,            0.058745,           0.0077932,                   0,             0.89789,             0.70964,             0.81111,             0.40915,            0.078374,           0.0069639,                   0,           0.0071092,           0.0071092,           0.0071092
                  75,            0.056956,           0.0075677,                   0,             0.88636,              0.7252,             0.80232,              0.4258,            0.071707,           0.0065441,                   0,           0.0070696,           0.0070696,           0.0070696
                  76,            0.056996,           0.0077781,                   0,             0.91039,             0.69508,             0.78949,              0.4411,            0.076577,           0.0064482,                   0,             0.00703,             0.00703,             0.00703
                  77,             0.05465,           0.0078008,                   0,             0.90776,             0.72516,             0.80393,             0.45571,            0.065539,           0.0062133,                   0,           0.0069904,           0.0069904,           0.0069904
                  78,            0.051954,            0.006975,                   0,             0.88877,             0.73509,             0.80155,             0.46972,            0.058948,           0.0064161,                   0,           0.0069508,           0.0069508,           0.0069508
                  79,             0.04295,           0.0075289,                   0,              0.9222,             0.72784,             0.81516,             0.45765,            0.064433,           0.0061438,                   0,           0.0069112,           0.0069112,           0.0069112
                  80,            0.048235,           0.0068568,                   0,             0.87918,             0.75439,             0.82533,             0.46133,            0.063156,           0.0061547,                   0,           0.0068716,           0.0068716,           0.0068716
                  81,            0.046651,           0.0073901,                   0,              0.9085,             0.74035,             0.82218,             0.45885,            0.068798,           0.0060991,                   0,            0.006832,            0.006832,            0.006832
                  82,            0.042482,           0.0071796,                   0,             0.90652,             0.72632,             0.82578,             0.45304,            0.065855,           0.0060425,                   0,           0.0067924,           0.0067924,           0.0067924
                  83,            0.055743,           0.0071604,                   0,              0.8808,             0.72456,             0.81356,             0.45956,            0.061865,           0.0060661,                   0,           0.0067528,           0.0067528,           0.0067528
                  84,            0.048577,           0.0067765,                   0,             0.87205,             0.71742,             0.80745,             0.44179,            0.068007,           0.0060707,                   0,           0.0067132,           0.0067132,           0.0067132
                  85,            0.043867,           0.0076296,                   0,             0.87254,             0.74737,             0.82036,             0.42925,            0.069503,           0.0061525,                   0,           0.0066736,           0.0066736,           0.0066736
                  86,            0.045846,           0.0072959,                   0,             0.87911,             0.75263,              0.8192,             0.47723,            0.070305,           0.0061414,                   0,            0.006634,            0.006634,            0.006634
                  87,            0.057797,           0.0071222,                   0,             0.88241,             0.75041,             0.81557,             0.47922,            0.072398,           0.0062298,                   0,           0.0065944,           0.0065944,           0.0065944
                  88,             0.05254,           0.0069123,                   0,             0.88895,             0.74434,             0.81309,             0.46269,            0.072273,           0.0060526,                   0,           0.0065548,           0.0065548,           0.0065548
                  89,            0.059628,           0.0078764,                   0,             0.87875,             0.72807,             0.80054,             0.44061,            0.064061,           0.0070725,                   0,           0.0065152,           0.0065152,           0.0065152
                  90,            0.047883,           0.0073658,                   0,             0.80033,             0.75244,             0.77989,             0.42737,            0.065711,           0.0065691,                   0,           0.0064756,           0.0064756,           0.0064756
                  91,            0.056749,           0.0076352,                   0,             0.83273,             0.72982,             0.79726,             0.45131,             0.06591,           0.0061387,                   0,            0.006436,            0.006436,            0.006436
                  92,            0.050094,           0.0068107,                   0,             0.91785,             0.72521,             0.81866,             0.46279,            0.068963,           0.0058819,                   0,           0.0063964,           0.0063964,           0.0063964
                  93,            0.060284,           0.0072088,                   0,             0.89889,             0.67368,             0.78886,             0.44457,             0.06498,             0.00594,                   0,           0.0063568,           0.0063568,           0.0063568
                  94,            0.059339,           0.0070869,                   0,             0.91129,             0.70288,             0.79529,             0.44672,            0.066198,           0.0059157,                   0,           0.0063172,           0.0063172,           0.0063172
                  95,            0.053461,           0.0069392,                   0,             0.87179,             0.71754,             0.79396,              0.4444,            0.066379,           0.0059414,                   0,           0.0062776,           0.0062776,           0.0062776
                  96,            0.055123,           0.0070989,                   0,             0.83572,             0.69649,              0.7697,             0.44169,            0.062192,            0.006239,                   0,            0.006238,            0.006238,            0.006238
                  97,            0.052865,           0.0071656,                   0,             0.87842,             0.68246,             0.78433,             0.44528,             0.06086,           0.0065323,                   0,           0.0061984,           0.0061984,           0.0061984
                  98,            0.046691,           0.0069879,                   0,             0.89539,             0.68772,             0.79717,             0.44182,            0.062048,           0.0066564,                   0,           0.0061588,           0.0061588,           0.0061588
                  99,            0.054732,            0.007284,                   0,             0.90004,             0.73684,              0.8248,             0.47212,            0.064693,           0.0059902,                   0,           0.0061192,           0.0061192,           0.0061192
                 100,            0.043172,           0.0064176,                   0,             0.89907,             0.70324,              0.8009,             0.46043,            0.069189,            0.006147,                   0,           0.0060796,           0.0060796,           0.0060796
                 101,            0.063448,           0.0066904,                   0,             0.85875,             0.76491,             0.81176,             0.47014,            0.063847,           0.0059847,                   0,             0.00604,             0.00604,             0.00604
                 102,            0.046419,           0.0069001,                   0,             0.88022,             0.74777,              0.8183,              0.4752,            0.064794,           0.0059624,                   0,           0.0060004,           0.0060004,           0.0060004
                 103,            0.049345,            0.007449,                   0,             0.87507,             0.74211,             0.80616,             0.45354,            0.074744,           0.0061473,                   0,           0.0059608,           0.0059608,           0.0059608
                 104,            0.043545,           0.0070905,                   0,             0.90068,             0.70005,             0.79663,             0.44639,            0.070169,           0.0065093,                   0,           0.0059212,           0.0059212,           0.0059212
                 105,            0.053927,           0.0072136,                   0,             0.86552,             0.72105,             0.79677,             0.45758,            0.071568,            0.007252,                   0,           0.0058816,           0.0058816,           0.0058816
                 106,             0.04032,           0.0072541,                   0,             0.88869,             0.72836,             0.80926,             0.45377,            0.068062,           0.0062621,                   0,            0.005842,            0.005842,            0.005842
                 107,             0.05019,           0.0073618,                   0,             0.89041,             0.72698,             0.80944,             0.46211,            0.065902,           0.0057656,                   0,           0.0058024,           0.0058024,           0.0058024
                 108,            0.049423,           0.0068677,                   0,             0.89133,             0.74561,             0.82127,             0.46937,            0.064805,           0.0057576,                   0,           0.0057628,           0.0057628,           0.0057628
                 109,            0.043028,           0.0068552,                   0,               0.911,              0.7542,             0.83937,             0.47964,            0.063857,           0.0057097,                   0,           0.0057232,           0.0057232,           0.0057232
                 110,            0.039765,           0.0073276,                   0,             0.88975,             0.75041,             0.81981,             0.44831,            0.064371,           0.0058929,                   0,           0.0056836,           0.0056836,           0.0056836
                 111,            0.045785,           0.0064967,                   0,             0.90247,             0.75439,             0.83309,             0.47688,              0.0574,           0.0058316,                   0,            0.005644,            0.005644,            0.005644
                 112,            0.046233,           0.0071556,                   0,             0.87302,             0.77544,             0.83802,             0.45978,            0.067923,           0.0057241,                   0,           0.0056044,           0.0056044,           0.0056044
                 113,            0.058227,           0.0072801,                   0,             0.91305,             0.75537,             0.82933,             0.44186,            0.060443,           0.0059045,                   0,           0.0055648,           0.0055648,           0.0055648
                 114,            0.044597,           0.0075255,                   0,              0.9151,             0.75637,             0.83363,             0.47291,            0.062371,           0.0057475,                   0,           0.0055252,           0.0055252,           0.0055252
                 115,            0.048349,           0.0071698,                   0,             0.88877,             0.76667,             0.82619,             0.46539,            0.062096,           0.0056396,                   0,           0.0054856,           0.0054856,           0.0054856
                 116,            0.051374,           0.0067783,                   0,             0.91081,             0.75249,             0.82878,             0.47337,            0.057747,           0.0056274,                   0,            0.005446,            0.005446,            0.005446
                 117,            0.046791,            0.006986,                   0,             0.92636,             0.72807,              0.8256,             0.47729,            0.059614,           0.0056684,                   0,           0.0054064,           0.0054064,           0.0054064
                 118,            0.048611,           0.0073341,                   0,             0.91308,             0.73721,             0.83454,             0.48755,            0.062398,           0.0055476,                   0,           0.0053668,           0.0053668,           0.0053668
                 119,            0.048216,           0.0060083,                   0,             0.89497,             0.77544,             0.84072,              0.4853,            0.062488,           0.0055736,                   0,           0.0053272,           0.0053272,           0.0053272
                 120,             0.03931,           0.0063557,                   0,             0.91255,              0.7506,             0.83524,             0.48553,            0.061365,           0.0056396,                   0,           0.0052876,           0.0052876,           0.0052876
                 121,            0.046902,           0.0069081,                   0,             0.90004,             0.77406,             0.85144,             0.48158,            0.059763,           0.0055143,                   0,            0.005248,            0.005248,            0.005248
                 122,            0.040502,           0.0064218,                   0,             0.91267,              0.7701,             0.84853,             0.49453,            0.056953,           0.0054978,                   0,           0.0052084,           0.0052084,           0.0052084
                 123,            0.053626,           0.0065141,                   0,             0.92468,             0.77538,             0.85344,             0.50471,            0.063653,           0.0054593,                   0,           0.0051688,           0.0051688,           0.0051688
                 124,            0.045956,           0.0073606,                   0,             0.91253,             0.76875,             0.84874,             0.49878,            0.066878,           0.0055169,                   0,           0.0051292,           0.0051292,           0.0051292
                 125,            0.046681,           0.0067811,                   0,             0.91387,              0.7614,             0.85205,             0.48348,            0.066924,           0.0056868,                   0,           0.0050896,           0.0050896,           0.0050896
                 126,             0.05473,           0.0068269,                   0,             0.91344,             0.76491,             0.84575,             0.49168,            0.057573,           0.0055988,                   0,             0.00505,             0.00505,             0.00505
                 127,            0.048379,            0.006561,                   0,             0.90331,             0.75399,             0.84354,             0.49365,            0.053672,           0.0055669,                   0,           0.0050104,           0.0050104,           0.0050104
                 128,            0.047396,           0.0068859,                   0,             0.92847,             0.72456,             0.84473,             0.49362,            0.059142,           0.0056119,                   0,           0.0049708,           0.0049708,           0.0049708
                 129,            0.047232,           0.0070014,                   0,             0.90701,             0.72456,             0.82913,             0.46961,            0.056403,           0.0059125,                   0,           0.0049312,           0.0049312,           0.0049312
