               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12597,           0.0093088,                   0,          6.3694e-05,           0.0052632,          3.2044e-05,          3.2044e-06,              0.1399,           0.0096204,                   0,              0.0982,              0.0002,              0.0002
                   1,              0.1252,           0.0092114,                   0,          6.3694e-05,           0.0052632,          3.2241e-05,          4.3067e-06,             0.13949,           0.0095524,                   0,            0.095498,          0.00049802,          0.00049802
                   2,            0.093307,           0.0093435,                   0,          6.3694e-05,           0.0052632,          3.2136e-05,          5.3834e-06,              0.1376,           0.0095663,                   0,            0.092794,          0.00079366,          0.00079366
                   3,             0.11919,            0.010288,                   0,          6.3694e-05,           0.0052632,            3.22e-05,          5.3681e-06,             0.13637,           0.0093222,                   0,            0.090087,           0.0010869,           0.0010869
                   4,             0.10544,            0.010617,                   0,          0.00010616,           0.0087719,          5.3576e-05,          9.6253e-06,             0.13102,           0.0097888,                   0,            0.087378,           0.0013778,           0.0013778
                   5,             0.10072,            0.010593,                   0,          0.00012739,            0.010526,           6.453e-05,          1.1786e-05,             0.12876,           0.0099495,                   0,            0.084666,           0.0016663,           0.0016663
                   6,            0.086181,            0.010849,                   0,          0.00021231,            0.017544,          0.00010803,          2.3636e-05,             0.12522,            0.010129,                   0,            0.081952,           0.0019525,           0.0019525
                   7,            0.094454,            0.011041,                   0,          0.00084926,            0.070175,          0.00045528,          0.00012297,             0.11852,             0.01028,                   0,            0.079236,           0.0022362,           0.0022362
                   8,             0.10738,            0.012619,                   0,           0.0013376,             0.11053,          0.00076693,          0.00019729,              0.1228,            0.011029,                   0,            0.076518,           0.0025176,           0.0025176
                   9,            0.091701,            0.011602,                   0,           0.0022081,             0.18246,           0.0020725,          0.00053229,             0.12299,            0.011929,                   0,            0.073797,           0.0027966,           0.0027966
                  10,            0.076048,            0.012577,                   0,           0.0028662,             0.23684,            0.005969,           0.0011809,             0.12064,            0.012586,                   0,            0.071073,           0.0030733,           0.0030733
                  11,            0.073055,            0.013059,                   0,            0.085681,            0.049123,            0.013082,           0.0032305,             0.12642,            0.011791,                   0,            0.068348,           0.0033475,           0.0033475
                  12,            0.087338,            0.014491,                   0,            0.076456,            0.063158,            0.016015,           0.0035497,             0.11676,            0.011658,                   0,            0.065619,           0.0036194,           0.0036194
                  13,            0.077675,            0.014627,                   0,            0.097417,             0.13158,            0.033937,           0.0080825,            0.098765,            0.012026,                   0,            0.062889,           0.0038889,           0.0038889
                  14,             0.07959,            0.015605,                   0,              0.1832,             0.17368,            0.070376,            0.017078,             0.11288,            0.012126,                   0,            0.060156,           0.0041561,           0.0041561
                  15,            0.087198,            0.013918,                   0,              0.2818,             0.24035,             0.16387,             0.03872,             0.11858,            0.011136,                   0,            0.057421,           0.0044208,           0.0044208
                  16,            0.074309,            0.013047,                   0,             0.10305,             0.24561,            0.045313,           0.0094471,             0.12462,           0.0093945,                   0,            0.054683,           0.0046832,           0.0046832
                  17,            0.064568,            0.011621,                   0,             0.23317,             0.32281,             0.17346,            0.039325,              0.1147,            0.012495,                   0,            0.051943,           0.0049432,           0.0049432
                  18,             0.08624,            0.011342,                   0,             0.15841,             0.22281,            0.078248,            0.015987,             0.11134,            0.012576,                   0,            0.049201,           0.0052008,           0.0052008
                  19,            0.088981,            0.011129,                   0,             0.16309,             0.17368,            0.079784,            0.015314,             0.12298,           0.0094605,                   0,            0.046456,           0.0054561,           0.0054561
                  20,            0.090505,            0.011282,                   0,             0.13016,             0.19298,            0.059163,            0.011587,              0.1069,            0.010586,                   0,            0.043709,            0.005709,            0.005709
                  21,            0.069549,            0.010978,                   0,             0.27292,              0.3016,             0.17679,            0.040027,             0.10729,            0.011127,                   0,            0.040959,           0.0059595,           0.0059595
                  22,            0.079713,            0.011459,                   0,             0.27387,             0.31404,             0.16096,            0.043768,             0.11079,            0.012012,                   0,            0.038208,           0.0062076,           0.0062076
                  23,            0.059238,           0.0099105,                   0,             0.19497,             0.27544,              0.1129,            0.029635,             0.10816,            0.011724,                   0,            0.035453,           0.0064533,           0.0064533
                  24,            0.069847,            0.011407,                   0,             0.44604,             0.37895,             0.33794,             0.10825,             0.10682,            0.011935,                   0,            0.032697,           0.0066967,           0.0066967
                  25,            0.055919,            0.010577,                   0,             0.21594,             0.29123,             0.12364,            0.029647,             0.10702,            0.013247,                   0,            0.029938,           0.0069377,           0.0069377
                  26,            0.055066,            0.010509,                   0,              0.4791,             0.35965,             0.35065,             0.11473,              0.1054,            0.011038,                   0,            0.027176,           0.0071763,           0.0071763
                  27,            0.068107,            0.011031,                   0,             0.33038,             0.34561,              0.2238,            0.064436,              0.1024,             0.01134,                   0,            0.024413,           0.0074126,           0.0074126
                  28,            0.070817,             0.01055,                   0,             0.35735,             0.39998,             0.27445,            0.085543,             0.11034,            0.010118,                   0,            0.021646,           0.0076464,           0.0076464
                  29,            0.054311,            0.010013,                   0,               0.444,             0.40769,             0.34565,             0.13361,             0.11063,            0.011101,                   0,            0.018878,           0.0078779,           0.0078779
