               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12642,           0.0092859,                   0,          4.2463e-05,           0.0035088,          2.1396e-05,          2.1396e-06,             0.14023,           0.0095911,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12472,           0.0094457,                   0,          4.2463e-05,           0.0035088,          2.1413e-05,          2.1413e-06,             0.14035,           0.0095045,                   0,            0.095498,          0.00049802,          0.00049802
                   2,            0.093717,           0.0093972,                   0,          4.2463e-05,           0.0035088,          2.1452e-05,          4.3227e-06,             0.13832,           0.0096312,                   0,            0.092794,          0.00079366,          0.00079366
                   3,             0.12019,            0.010335,                   0,          0.00010616,           0.0087719,          5.3605e-05,          7.5079e-06,             0.13634,           0.0096513,                   0,            0.090087,           0.0010869,           0.0010869
                   4,             0.10468,            0.010616,                   0,          8.4926e-05,           0.0070175,           4.277e-05,          1.1757e-05,             0.13442,           0.0095818,                   0,            0.087378,           0.0013778,           0.0013778
                   5,               0.103,            0.010807,                   0,          0.00016985,            0.014035,          8.6246e-05,           1.935e-05,             0.13092,           0.0094582,                   0,            0.084666,           0.0016663,           0.0016663
                   6,            0.085672,            0.011036,                   0,          0.00025478,            0.021053,          0.00013081,          3.3594e-05,             0.12548,           0.0098274,                   0,            0.081952,           0.0019525,           0.0019525
                   7,            0.094124,            0.011188,                   0,          0.00095541,            0.078947,          0.00054548,          0.00014591,             0.11942,            0.010622,                   0,            0.079236,           0.0022362,           0.0022362
                   8,              0.1055,             0.01268,                   0,          0.00084926,            0.070175,          0.00046938,          0.00010798,             0.11524,            0.011117,                   0,            0.076518,           0.0025176,           0.0025176
                   9,            0.092198,            0.011509,                   0,           0.0018471,             0.15263,            0.002749,          0.00066706,             0.12505,            0.011854,                   0,            0.073797,           0.0027966,           0.0027966
                  10,            0.077752,            0.012248,                   0,           0.0025478,             0.21053,           0.0052546,           0.0010233,             0.12138,            0.012224,                   0,            0.071073,           0.0030733,           0.0030733
                  11,            0.074319,            0.012594,                   0,            0.053374,            0.092982,            0.011984,           0.0023864,             0.11465,            0.012675,                   0,            0.068348,           0.0033475,           0.0033475
                  12,            0.087587,            0.013927,                   0,           0.0043178,             0.34211,            0.017017,           0.0040433,             0.10874,            0.013024,                   0,            0.065619,           0.0036194,           0.0036194
                  13,            0.080443,            0.014204,                   0,              0.0803,             0.18421,            0.033037,           0.0068448,             0.10545,            0.012711,                   0,            0.062889,           0.0038889,           0.0038889
                  14,            0.078524,            0.015467,                   0,             0.10648,             0.22982,            0.060891,            0.014307,             0.10432,            0.011849,                   0,            0.060156,           0.0041561,           0.0041561
                  15,            0.089984,            0.014287,                   0,              0.2719,             0.24035,             0.15884,            0.036204,             0.10357,            0.011336,                   0,            0.057421,           0.0044208,           0.0044208
                  16,            0.076719,            0.013276,                   0,             0.23366,             0.24659,             0.14218,            0.028404,            0.096837,            0.011425,                   0,            0.054683,           0.0046832,           0.0046832
                  17,            0.061074,            0.012898,                   0,             0.31782,             0.28947,             0.19122,            0.045863,              0.1049,            0.013291,                   0,            0.051943,           0.0049432,           0.0049432
                  18,            0.080478,            0.011388,                   0,            0.024272,            0.080702,           0.0066644,           0.0013443,             0.10468,            0.015216,                   0,            0.049201,           0.0052008,           0.0052008
                  19,            0.090593,            0.010799,                   0,             0.27286,             0.32281,             0.16259,            0.036854,              0.1191,            0.014678,                   0,            0.046456,           0.0054561,           0.0054561
                  20,            0.087068,            0.011511,                   0,             0.24462,             0.33684,             0.16011,             0.04196,             0.10456,            0.012599,                   0,            0.043709,            0.005709,            0.005709
                  21,            0.072818,            0.011508,                   0,             0.25296,              0.3386,             0.17471,            0.038343,            0.099362,            0.012241,                   0,            0.040959,           0.0059595,           0.0059595
                  22,            0.081726,            0.012106,                   0,             0.23839,             0.29818,             0.13344,            0.026553,             0.10133,            0.012624,                   0,            0.038208,           0.0062076,           0.0062076
                  23,            0.060423,            0.010183,                   0,             0.38975,             0.34211,              0.2743,            0.074287,             0.10782,            0.010028,                   0,            0.035453,           0.0064533,           0.0064533
                  24,             0.07439,            0.011745,                   0,              0.4255,             0.37544,             0.32259,             0.10074,             0.10168,            0.010382,                   0,            0.032697,           0.0066967,           0.0066967
                  25,            0.059118,            0.010385,                   0,             0.46138,             0.39123,             0.35924,             0.12958,             0.10802,           0.0095999,                   0,            0.029938,           0.0069377,           0.0069377
                  26,            0.060889,            0.010071,                   0,             0.27369,             0.28421,             0.18639,            0.052425,             0.10508,           0.0094798,                   0,            0.027176,           0.0071763,           0.0071763
                  27,            0.068988,            0.011049,                   0,             0.41777,              0.3978,             0.32659,            0.097403,             0.10072,            0.010174,                   0,            0.024413,           0.0074126,           0.0074126
                  28,            0.067901,            0.011263,                   0,             0.38407,             0.29318,             0.23781,            0.052802,            0.093977,           0.0091216,                   0,            0.021646,           0.0076464,           0.0076464
                  29,            0.056678,           0.0099718,                   0,             0.35735,             0.39649,             0.28116,            0.093605,            0.087852,            0.009218,                   0,            0.018878,           0.0078779,           0.0078779
                  30,            0.078132,            0.011105,                   0,             0.48575,             0.40103,             0.35082,             0.11593,             0.11287,           0.0096596,                   0,            0.016107,            0.008107,            0.008107
                  31,            0.098533,            0.012596,                   0,             0.50083,             0.44211,             0.41327,             0.15243,             0.10234,            0.014007,                   0,            0.013334,           0.0083338,           0.0083338
